e401k,inc,marr,male,age,fsize,nettfa,p401k,pira,incsq,agesq
0,13.170000076293945,0,0,40,1,4.574999809265137,0,1,173.4488983154297,1600
1,61.22999954223633,0,1,35,1,154.0,1,0,3749.11279296875,1225
0,12.857999801635742,1,0,44,2,0.0,0,0,165.32815551757812,1936
0,98.87999725341797,1,1,44,2,21.799999237060547,0,0,9777.25390625,1936
0,22.61400032043457,0,0,53,1,18.450000762939453,0,0,511.39300537109375,2809
0,15.0,1,0,60,3,0.0,0,0,225.0,3600
0,37.154998779296875,1,0,49,5,3.4830000400543213,0,1,1380.493896484375,2401
0,31.895999908447266,1,0,38,5,-2.0999999046325684,0,0,1017.3547973632812,1444
0,47.29499816894531,1,0,52,2,5.289999961853027,0,1,2236.81689453125,2704
1,29.100000381469727,0,1,45,1,29.600000381469727,0,1,846.8099975585938,2025
0,23.457000732421875,1,0,61,3,0.0,0,0,550.2308959960938,3721
0,31.78499984741211,1,0,40,6,18.14900016784668,0,0,1010.2861938476562,1600
0,34.941001892089844,1,0,48,3,0.6949999928474426,0,0,1220.8736572265625,2304
0,24.43199920654297,1,0,60,2,0.20000000298023224,0,0,596.922607421875,3600
0,25.131000518798828,1,0,43,5,-4.25,0,0,631.5671997070312,1849
0,19.073999404907227,0,1,43,1,0.0,0,0,363.81744384765625,1849
1,38.77199935913086,1,0,47,2,4.150000095367432,1,0,1503.2679443359375,2209
1,12.479999542236328,1,0,27,2,-10.0,0,0,155.75038146972656,729
1,45.38999938964844,1,0,57,2,122.5,0,1,2060.251953125,3249
0,39.861000061035156,1,0,35,2,1.600000023841858,0,1,1588.8992919921875,1225
1,102.5999984741211,1,0,53,5,40.999000549316406,1,1,10526.759765625,2809
0,39.57899856567383,1,0,36,4,12.175000190734863,0,0,1566.4970703125,1296
0,40.194000244140625,1,0,40,3,8.300000190734863,0,1,1615.5576171875,1600
0,25.253999710083008,0,1,31,1,9.687000274658203,0,1,637.7645263671875,961
0,10.800000190734863,0,0,48,2,0.5,0,0,116.64000701904297,2304
0,27.0,0,1,42,1,0.12999999523162842,0,0,729.0,1764
0,17.856000900268555,1,0,42,5,-15.494999885559082,0,0,318.8367614746094,1764
1,38.939998626708984,1,0,35,2,0.20000000298023224,1,0,1516.323486328125,1225
0,12.239999771118164,0,1,32,2,-2.5,0,1,149.81759643554688,1024
0,18.0,0,0,46,2,0.0,0,1,324.0,2116
1,21.45599937438965,0,0,25,1,-21.020000457763672,1,0,460.35992431640625,625
0,14.024999618530273,1,0,39,5,1.399999976158142,0,0,196.7006072998047,1521
0,15.185999870300293,1,1,36,4,-5.191999912261963,0,1,230.61459350585938,1296
1,41.415000915527344,1,0,34,5,5.800000190734863,1,1,1715.2022705078125,1156
0,12.965999603271484,0,0,52,2,-4.25,0,0,168.1171417236328,2704
0,58.79999923706055,1,0,41,2,63.70000076293945,0,1,3457.43994140625,1681
1,63.8489990234375,1,0,44,5,5.89900016784668,1,0,4076.694580078125,1936
1,47.099998474121094,0,1,61,2,59.79999923706055,1,0,2218.409912109375,3721
0,36.071998596191406,1,0,63,3,72.2249984741211,0,1,1301.1890869140625,3969
1,107.63999938964844,1,0,51,2,69.0,1,1,11586.369140625,2601
1,58.91999816894531,1,0,49,4,19.679000854492188,0,0,3471.566162109375,2401
1,48.6150016784668,1,0,36,4,-2.700000047683716,0,0,2363.41845703125,1296
0,29.204999923706055,1,0,34,6,0.2680000066757202,0,0,852.9320068359375,1156
0,24.44099998474121,0,0,36,2,2.0,0,0,597.3624877929688,1296
0,18.524999618530273,1,0,28,5,-1.9800000190734863,0,0,343.17559814453125,784
0,15.359999656677246,1,0,38,4,-0.949999988079071,0,0,235.92959594726562,1444
0,53.474998474121094,1,0,54,2,0.33000001311302185,0,0,2859.575439453125,2916
1,31.055999755859375,1,0,47,6,5.639999866485596,1,0,964.47509765625,2209
0,36.071998596191406,1,0,46,5,0.0,0,0,1301.1890869140625,2116
1,19.163999557495117,1,0,51,2,0.8989999890327454,0,0,367.2588806152344,2601
0,44.375999450683594,0,1,48,1,24.999000549316406,0,0,1969.2293701171875,2304
0,28.32900047302246,0,0,54,2,26.530000686645508,0,1,802.5322875976562,2916
1,37.380001068115234,0,1,48,1,2.999000072479248,0,0,1397.2645263671875,2304
0,17.816999435424805,0,1,42,1,1.7000000476837158,0,0,317.4454650878906,1764
1,71.02799987792969,1,0,60,2,257.6000061035156,1,1,5044.9765625,3600
0,28.47599983215332,0,0,58,1,27.0,0,1,810.882568359375,3364
0,34.04100036621094,1,0,30,2,-4.0,0,0,1158.7896728515625,900
0,25.860000610351562,0,0,26,1,10.5,0,0,668.7396240234375,676
1,77.3550033569336,1,0,33,4,30.899999618530273,1,1,5983.79638671875,1089
0,15.413999557495117,0,0,50,4,0.14499999582767487,0,0,237.5913848876953,2500
0,73.9020004272461,1,0,44,4,14.298999786376953,0,0,5461.505859375,1936
1,10.545000076293945,0,1,25,1,1.031000018119812,1,0,111.19702911376953,625
0,24.177000045776367,0,1,25,1,-1.3009999990463257,0,0,584.52734375,625
1,33.41999816894531,0,0,46,2,8.411999702453613,1,0,1116.896240234375,2116
0,53.22600173950195,1,0,51,8,-1.2000000476837158,0,0,2833.00732421875,2601
0,31.868999481201172,0,1,36,1,1.600000023841858,0,1,1015.6331176757812,1296
0,26.945999145507812,0,0,64,2,-3.799999952316284,0,0,726.0868530273438,4096
1,90.72599792480469,1,0,62,2,13.600000381469727,1,1,8231.20703125,3844
0,28.799999237060547,1,0,31,8,0.10000000149011612,0,0,829.43994140625,961
0,23.19300079345703,1,0,37,7,-1.8860000371932983,0,0,537.915283203125,1369
1,36.0359992980957,0,1,64,1,18.25,1,0,1298.59326171875,4096
0,56.082000732421875,1,0,28,2,9.800000190734863,0,0,3145.19091796875,784
0,16.031999588012695,0,1,25,2,1.9299999475479126,0,0,257.0250244140625,625
1,52.236000061035156,1,0,38,6,-3.0,0,0,2728.599609375,1444
0,39.630001068115234,1,0,41,3,0.22499999403953552,0,0,1570.5369873046875,1681
1,34.470001220703125,1,0,50,5,27.79800033569336,1,0,1188.1810302734375,2500
0,31.54800033569336,1,0,56,6,-24.799999237060547,0,0,995.2763061523438,3136
1,31.200000762939453,1,0,28,2,-72.80000305175781,0,0,973.4400634765625,784
1,19.805999755859375,1,0,39,4,25.56999969482422,1,0,392.2776184082031,1521
1,74.52899932861328,1,0,42,4,17.950000762939453,1,0,5554.57177734375,1764
1,26.68199920654297,1,0,43,5,3.5999999046325684,1,0,711.9290771484375,1849
0,33.75,0,1,25,1,-3.0,0,0,1139.0625,625
1,146.57699584960938,1,0,43,5,778.6279907226562,1,1,21484.81640625,1849
0,23.718000411987305,0,0,32,1,14.298999786376953,0,1,562.5435180664062,1024
1,19.302000045776367,0,0,31,1,-3.4000000953674316,0,0,372.56719970703125,961
