attend,termGPA,priGPA,ACT,final,atndrte,hwrte,frosh,soph,missed,stndfnl
27,3.190000057220459,2.640000104904175,23,28,84.375,100.0,0,1,5,0.47268906235694885
22,2.7300000190734863,3.5199999809265137,25,26,68.75,87.5,0,0,10,0.052521008998155594
30,3.0,2.4600000381469727,24,30,93.75,87.5,0,0,2,0.8928571343421936
31,2.0399999618530273,2.609999895095825,20,27,96.875,100.0,0,1,1,0.26260504126548767
32,3.680000066757202,3.319999933242798,23,34,100.0,100.0,0,1,0,1.733193278312683
29,3.2300000190734863,2.930000066757202,26,25,90.625,100.0,0,1,3,-0.15756303071975708
30,1.5399999618530273,1.940000057220459,21,10,93.75,75.0,1,0,2,-3.308823585510254
26,2.0,2.119999885559082,22,34,81.25,100.0,0,1,6,1.733193278312683
24,2.25,2.059999942779541,24,26,75.0,100.0,1,0,8,0.052521008998155594
29,3.0,2.7300000190734863,21,26,90.625,100.0,0,1,3,0.052521008998155594
30,3.2100000381469727,2.2899999618530273,16,27,93.75,100.0,0,0,2,0.26260504126548767
19,2.049999952316284,2.2899999618530273,24,22,59.375,50.0,1,0,13,-0.7878151535987854
19,2.130000114440918,2.640000104904175,24,27,59.375,75.0,0,0,13,0.26260504126548767
29,3.5799999237060547,3.390000104904175,27,33,90.625,100.0,0,1,3,1.5231091976165771
29,2.5,2.759999990463257,25,29,90.625,62.5,0,1,3,0.6827731132507324
30,2.0999999046325684,2.3299999237060547,20,23,93.75,100.0,1,0,2,-0.5777310729026794
20,1.2699999809265137,1.9800000190734863,22,22,62.5,75.0,0,1,12,-0.7878151535987854
32,2.7699999809265137,2.2899999618530273,25,21,100.0,100.0,0,1,0,-0.9978991746902466
31,3.1500000953674316,3.0199999809265137,18,25,96.875,100.0,1,0,1,-0.15756303071975708
29,2.380000114440918,2.3299999237060547,22,22,90.625,100.0,0,1,3,-0.7878151535987854
27,1.7699999809265137,2.5399999618530273,21,24,84.375,75.0,1,0,5,-0.36764705181121826
25,2.3299999237060547,2.390000104904175,23,27,78.125,100.0,0,1,7,0.26260504126548767
31,2.3299999237060547,2.430000066757202,21,19,96.875,100.0,0,1,1,-1.418067216873169
22,3.880000114440918,3.880000114440918,28,33,68.75,75.0,0,1,10,1.5231091976165771
27,3.2899999618530273,2.5799999237060547,26,33,84.375,87.5,0,0,5,1.5231091976165771
29,3.799999952316284,3.359999895095825,29,31,90.625,100.0,0,1,3,1.1029411554336548
32,3.5,3.0199999809265137,28,32,100.0,100.0,0,0,0,1.3130252361297607
25,2.140000104904175,2.119999885559082,16,22,78.125,100.0,0,1,7,-0.7878151535987854
30,2.880000114440918,2.369999885559082,23,30,93.75,75.0,1,0,2,0.8928571343421936
25,3.2699999809265137,2.930000066757202,22,27,78.125,100.0,0,1,7,0.26260504126548767
27,3.2899999618530273,2.0199999809265137,28,30,84.375,87.5,1,0,5,0.8928571343421936
27,2.559999942779541,2.7799999713897705,21,26,84.375,100.0,0,0,5,0.052521008998155594
23,3.25,2.8499999046325684,29,25,71.875,62.5,0,0,9,-0.15756303071975708
32,2.7100000381469727,2.2799999713897705,22,28,100.0,100.0,0,1,0,0.47268906235694885
31,2.859999895095825,3.4600000381469727,16,27,96.875,100.0,0,1,1,0.26260504126548767
