salary,age,college,grad,comten,ceoten,sales,profits,mktval,lsalary,lsales,lmktval,comtensq,ceotensq,profmarg
1161,49,1,1,9,2,6200.0,966,23200.0,7.057036876678467,8.732304573059082,10.051907539367676,81,4,15.580645561218262
600,43,1,1,10,10,283.0,48,1100.0,6.396929740905762,5.64544677734375,7.003065586090088,100,100,16.961130142211914
379,51,1,1,9,3,169.0,40,1100.0,5.937536239624023,5.129898548126221,7.003065586090088,81,9,23.668638229370117
651,55,1,0,22,22,1100.0,-54,1000.0,6.478509426116943,7.003065586090088,6.907755374908447,484,484,-4.909090995788574
497,44,1,1,8,6,351.0,28,387.0,6.208590030670166,5.860786437988281,5.9584245681762695,64,36,7.977208137512207
1067,64,1,1,7,7,19000.0,614,3900.0,6.972606182098389,9.852193832397461,8.268732070922852,49,49,3.231579065322876
945,59,1,0,35,10,536.0,24,623.0,6.851184844970703,6.284134387969971,6.43454647064209,1225,100,4.477612018585205
1261,63,1,1,32,8,4800.0,191,2100.0,7.139660358428955,8.476370811462402,7.649692535400391,1024,64,3.9791667461395264
503,47,1,1,4,4,610.0,7,454.0,6.220590114593506,6.413458824157715,6.118097305297852,16,16,1.1475409269332886
1094,64,1,1,39,5,2900.0,230,3900.0,6.99759578704834,7.972465991973877,8.268732070922852,1521,25,7.931034564971924
601,54,1,1,26,7,1200.0,34,533.0,6.398594856262207,7.090076923370361,6.278521537780762,676,49,2.8333332538604736
355,66,1,0,39,8,560.0,8,477.0,5.87211799621582,6.32793664932251,6.167516708374023,1521,64,1.4285714626312256
1200,72,1,0,37,37,796.0,35,678.0,7.090076923370361,6.679599285125732,6.5191473960876465,1369,1369,4.396985054016113
697,51,1,0,25,1,8200.0,234,5700.0,6.546785354614258,9.011889457702637,8.648221015930176,625,1,2.853658437728882
1041,63,1,1,21,11,4300.0,91,1400.0,6.94793701171875,8.36637020111084,7.244227409362793,441,121,2.116279125213623
245,44,1,1,7,7,135.0,24,558.0,5.501258373260498,4.905274868011475,6.324358940124512,49,49,17.77777862548828
817,68,1,0,38,4,1300.0,55,847.0,6.705638885498047,7.170119762420654,6.741700649261475,1444,16,4.230769157409668
1675,71,0,0,31,12,674.0,115,1200.0,7.423568248748779,6.513230323791504,7.090076923370361,961,144,17.062314987182617
971,72,1,1,33,24,1400.0,69,609.0,6.878326416015625,7.244227409362793,6.411818504333496,1089,576,4.9285712242126465
609,58,1,0,36,1,1100.0,69,880.0,6.411818504333496,7.003065586090088,6.779922008514404,1296,1,6.2727274894714355
470,60,1,1,20,6,2300.0,210,2200.0,6.152732849121094,7.740664482116699,7.6962127685546875,400,36,9.1304349899292
867,59,1,0,36,14,884.0,81,1500.0,6.765038967132568,6.784457206726074,7.313220500946045,1296,196,9.162896156311035
752,54,1,0,32,4,1600.0,193,3200.0,6.62273645401001,7.377758979797363,8.070905685424805,1024,16,12.0625
246,51,1,0,8,8,78.0,13,458.0,5.505331516265869,4.356709003448486,6.126869201660156,64,64,16.66666603088379
825,56,1,1,4,4,10700.0,295,5900.0,6.715383529663086,9.277998924255371,8.682707786560059,16,16,2.757009267807007
358,50,1,1,23,4,99.0,25,2300.0,5.880533218383789,4.595119953155518,7.740664482116699,529,16,25.252525329589844
1162,58,1,0,24,6,3800.0,226,1800.0,7.057898044586182,8.242755889892578,7.495542049407959,576,36,5.947368621826172
