educ,south,nonwhite,female,married,exper,expersq,union,lwage,age,year,y85,y85fem,y85educ,y85union
12,0,0,0,0,8,64,0,1.215000033378601,25,78,0,0,0,0
12,0,0,1,1,30,900,1,1.6094000339508057,47,78,0,0,0,0
6,0,0,0,1,38,1444,1,2.1401000022888184,49,78,0,0,0,0
12,0,0,0,1,19,361,1,2.073199987411499,36,78,0,0,0,0
12,0,0,0,1,11,121,0,1.6490000486373901,28,78,0,0,0,0
8,0,0,0,1,43,1849,0,1.7148000001907349,56,78,0,0,0,0
11,0,0,0,0,2,4,0,1.0986000299453735,18,78,0,0,0,0
15,0,0,1,0,9,81,0,1.8325999975204468,29,78,0,0,0,0
16,0,0,1,0,17,289,0,0.35670000314712524,38,78,0,0,0,0
15,0,0,0,1,23,529,1,2.1547000408172607,43,78,0,0,0,0
15,0,0,0,1,39,1521,1,1.9867000579833984,59,78,0,0,0,0
12,0,0,1,1,5,25,1,1.704699993133545,22,78,0,0,0,0
11,0,0,0,1,27,729,1,2.1101999282836914,43,78,0,0,0,0
12,0,0,0,1,29,841,0,1.8325999975204468,46,78,0,0,0,0
12,0,0,0,0,7,49,0,1.3083000183105469,24,78,0,0,0,0
12,0,0,1,0,42,1764,1,2.2300000190734863,59,78,0,0,0,0
18,0,0,0,1,35,1225,1,2.525700092315674,58,78,0,0,0,0
18,0,0,1,1,31,961,1,2.397900104522705,54,78,0,0,0,0
6,0,0,0,1,24,576,0,1.2527999877929688,35,78,0,0,0,0
14,0,1,0,1,14,196,1,2.079400062561035,33,78,0,0,0,0
12,0,0,1,0,40,1600,1,2.014899969100952,57,78,0,0,0,0
12,0,0,1,0,10,100,0,1.2039999961853027,27,78,0,0,0,0
13,0,0,1,0,3,9,0,1.386299967765808,21,78,0,0,0,0
13,0,0,0,0,2,4,0,1.2310999631881714,20,78,0,0,0,0
15,0,0,0,0,7,49,0,1.50409996509552,27,78,0,0,0,0
16,0,0,0,0,29,841,0,2.5996999740600586,50,78,0,0,0,0
13,0,0,0,1,27,729,1,2.23799991607666,45,78,0,0,0,0
18,0,0,0,0,8,64,0,2.3538999557495117,31,78,0,0,0,0
10,0,0,0,1,6,36,1,2.525700092315674,21,78,0,0,0,0
14,0,0,1,0,2,4,0,0.9361000061035156,21,78,0,0,0,0
8,0,0,0,0,36,1296,1,2.014899969100952,49,78,0,0,0,0
15,0,0,1,1,23,529,1,1.1313999891281128,43,78,0,0,0,0
8,0,0,1,1,48,2304,1,1.6582000255584717,61,78,0,0,0,0
12,0,0,0,0,21,441,1,2.067699909210205,38,78,0,0,0,0
8,0,0,0,1,11,121,1,2.0820000171661377,24,78,0,0,0,0
12,0,0,1,1,26,676,1,2.1547000408172607,43,78,0,0,0,0
