husage,husunion,husearns,huseduc,husblck,hushisp,hushrs,kidge6,earns,age,black,educ,hispanic,union,faminc,husexp,exper,kidlt6,hours,expersq,nwifeinc,inlf,hrwage,lwage
42,0,568,14,0,0,40,1,290.0,43,0,14,0,0,45000.0,22,23,0,0,529,29.920000076293945,0,,
26,0,600,14,0,0,0,0,654.0,26,0,14,0,0,45000.0,6,6,0,0,36,10.991999626159668,0,,
56,0,1500,14,0,0,40,1,100.0,49,0,12,0,0,55000.0,36,31,0,15,961,49.79999923706055,1,6.666666507720947,1.8971199989318848
35,,0,12,0,0,40,0,0.0,35,0,10,0,,55000.0,17,19,1,0,361,55.0,0,,
42,0,450,11,0,0,45,1,0.0,43,0,13,0,,27500.0,25,24,0,0,576,27.5,0,,
55,0,465,13,0,0,50,0,0.0,58,0,12,0,,55000.0,36,40,0,0,1600,55.0,0,,
68,,0,16,0,0,0,0,360.0,56,0,12,0,0,22500.0,46,38,0,45,1444,3.7799999713897705,1,8.0,2.079441547393799
48,0,492,10,0,1,48,0,0.0,48,0,12,1,,45000.0,32,30,0,0,900,45.0,0,,
38,,0,14,0,0,65,1,0.0,37,0,12,0,,37500.0,18,19,0,0,361,37.5,0,,
48,1,1923,12,0,0,21,0,0.0,39,0,14,0,,112500.0,30,19,1,0,361,112.5,0,,
56,0,450,12,0,0,40,0,0.0,52,0,12,0,,27500.0,38,34,0,0,1156,27.5,0,,
37,0,523,12,0,0,33,0,0.0,45,0,12,0,,32500.0,19,27,0,0,729,32.5,0,,
31,0,800,17,0,0,40,0,480.0,29,0,14,0,0,55000.0,8,9,0,40,81,30.040000915527344,1,12.0,2.4849066734313965
40,,0,16,0,0,45,0,80.0,37,0,16,0,0,8750.0,18,15,1,8,225,4.590000152587891,1,10.0,2.3025851249694824
63,,0,10,0,0,0,0,275.0,59,0,12,1,0,3000.0,47,41,0,25,1681,0.0,1,11.0,2.397895336151123
60,0,900,15,0,0,40,0,320.0,58,0,12,0,0,22500.0,39,40,0,0,1600,5.860000133514404,0,,
29,,0,12,0,0,70,0,229.0,28,0,16,0,0,112500.0,11,6,1,24,36,100.59200286865234,1,9.541666984558105,2.2556681632995605
28,0,480,14,0,0,42,0,0.0,27,0,18,0,,32500.0,8,3,1,0,9,32.5,0,,
35,,0,18,0,0,30,0,0.0,29,0,13,0,,112500.0,11,10,1,0,100,112.5,0,,
33,0,950,13,0,0,60,0,455.0,30,0,12,0,0,32500.0,14,12,1,40,144,8.84000015258789,1,11.375,2.431417942047119
34,0,1000,14,0,0,50,1,102.0,31,0,12,0,0,55000.0,14,13,0,20,169,49.69599914550781,1,5.099999904632568,1.6292405128479004
42,0,730,14,0,0,40,1,300.0,41,0,12,0,0,32500.0,22,23,0,30,529,16.899999618530273,1,10.0,2.3025851249694824
25,0,320,12,0,0,40,0,0.0,25,0,12,1,,17500.0,7,7,1,0,49,17.5,0,,
62,,0,12,0,0,20,0,0.0,59,0,13,0,,67500.0,44,40,0,0,1600,67.5,0,,
45,0,1154,16,0,0,38,1,425.0,45,0,18,0,0,67500.0,23,21,0,35,441,45.400001525878906,1,12.142857551574707,2.4967410564422607
33,0,1350,16,0,0,40,0,770.0,32,0,12,0,0,112500.0,11,14,0,40,196,72.45999908447266,1,19.25,2.9575109481811523
31,0,769,18,0,0,55,0,125.0,27,0,14,0,0,45000.0,7,7,1,21,49,38.5,1,5.952381134033203,1.7837913036346436
55,1,695,12,0,0,72,0,0.0,51,0,12,0,,37500.0,37,33,0,0,1089,37.5,0,,
31,0,340,12,0,0,40,0,245.0,30,0,15,0,0,32500.0,13,9,1,35,81,19.760000228881836,1,7.0,1.945910096168518
22,0,450,12,0,0,43,0,0.0,21,0,12,0,,27500.0,4,3,1,0,9,27.5,0,,
44,0,750,12,0,0,40,1,539.0,42,0,12,0,0,55000.0,26,24,0,40,576,26.972000122070312,1,13.475000381469727,2.6008360385894775
41,,0,16,0,0,40,0,0.0,28,0,14,0,,67500.0,19,8,1,0,64,67.5,0,,
45,0,1200,12,0,0,50,0,300.0,42,0,12,0,0,112500.0,27,24,0,40,576,96.9000015258789,1,7.5,2.0149030685424805
22,0,249,12,0,0,40,0,299.0,23,0,13,0,0,27500.0,4,4,0,40,16,11.95199966430664,1,7.474999904632568,2.011564016342163
66,0,500,16,0,0,40,0,500.0,55,0,12,0,0,67500.0,44,37,0,40,1369,41.5,1,12.5,2.525728702545166
36,0,1500,16,0,0,60,0,0.0,31,0,17,0,,112500.0,14,8,1,0,64,112.5,0,,
58,0,360,12,0,0,40,0,0.0,57,0,14,0,,22500.0,40,37,0,0,1369,22.5,0,,
26,0,500,12,0,0,40,0,0.0,21,0,13,0,,37500.0,8,2,0,0,4,37.5,0,,
38,0,1000,16,0,0,40,1,0.0,39,0,16,0,,3000.0,16,17,0,0,289,3.0,0,,
