narr86,nfarr86,nparr86,pcnv,avgsen,tottime,ptime86,qemp86,inc86,durat,black,hispan,born60,pcnvsq,pt86sq,inc86sq
0,0,0,0.3799999952316284,17.600000381469727,35.20000076293945,12,0.0,0.0,0.0,0,0,1,0.1444000005722046,144,0.0
2,2,0,0.4399999976158142,0.0,0.0,0,1.0,0.800000011920929,0.0,0,1,0,0.19359999895095825,0,0.64000004529953
1,1,0,0.33000001311302185,22.799999237060547,22.799999237060547,0,0.0,0.0,11.0,1,0,1,0.10890001058578491,0,0.0
2,2,1,0.25,0.0,0.0,5,2.0,8.800000190734863,0.0,0,1,1,0.0625,25,77.44000244140625
1,1,0,0.0,0.0,0.0,0,2.0,8.100000381469727,1.0,0,0,0,0.0,0,65.6100082397461
0,0,0,1.0,0.0,0.0,0,4.0,97.5999984741211,0.0,0,0,1,1.0,0,9525.759765625
2,2,1,0.4399999976158142,0.0,0.0,0,0.0,0.0,1.0,1,0,1,0.19359999895095825,0,0.0
5,3,5,0.75,0.0,0.0,0,0.0,0.0,3.0,0,0,1,0.5625,0,0.0
0,0,0,0.33000001311302185,10.899999618530273,21.799999237060547,9,0.0,0.0,19.299999237060547,1,0,1,0.10890001058578491,81,0.0
0,0,0,0.23000000417232513,0.0,0.0,0,3.0,16.700000762939453,0.0,0,1,1,0.05290000140666962,0,278.8900146484375
1,1,0,0.0,0.0,0.0,0,4.0,162.5,0.0,0,0,1,0.0,0,26406.25
0,0,0,0.17000000178813934,31.700000762939453,63.400001525878906,12,0.0,0.0,0.0,0,1,0,0.02890000119805336,144,0.0
0,0,0,0.33000001311302185,0.0,0.0,0,4.0,32.900001525878906,0.0,0,0,1,0.10890001058578491,0,1082.41015625
0,0,0,0.0,0.0,0.0,0,0.0,0.0,14.0,0,0,1,0.0,0,0.0
1,1,0,0.0,0.0,0.0,0,4.0,174.5,0.0,0,0,1,0.0,0,30450.25
0,0,0,0.20000000298023224,59.20000076293945,59.20000076293945,3,1.7000000476837158,14.300000190734863,4.300000190734863,1,0,1,0.04000000283122063,9,204.49000549316406
1,1,0,0.3799999952316284,0.0,0.0,0,0.0,0.0,18.0,1,0,1,0.1444000005722046,0,0.0
0,0,0,0.5,0.0,0.0,0,4.0,154.0,0.0,0,0,1,0.25,0,23716.0
0,0,0,0.6000000238418579,7.900000095367432,23.700000762939453,0,0.0,0.0,11.0,1,0,0,0.36000001430511475,0,0.0
0,0,0,0.5,0.0,0.0,0,4.0,100.30000305175781,0.0,0,0,0,0.25,0,10060.0908203125
3,2,0,0.4699999988079071,5.599999904632568,22.399999618530273,0,0.0,0.0,4.800000190734863,0,1,1,0.22089999914169312,0,0.0
1,0,0,0.17000000178813934,4.0,4.0,0,2.0,16.200000762939453,0.0,1,0,1,0.02890000119805336,0,262.4400329589844
0,0,0,0.2199999988079071,6.900000095367432,20.700000762939453,0,4.0,144.10000610351562,0.0,0,1,1,0.04839999973773956,0,20764.8125
