district,year,crime,clrprc1,clrprc2,d78,avgclr,lcrime,clcrime,cavgclr,cclrprc1,cclrprc2
1,72,49.540000915527344,22,23,0,22.5,3.902780532836914,,,,
1,78,71.31999969482422,15,17,1,16.0,4.267176628112793,0.3643960952758789,-6.5,-7,-6
2,72,14.770000457763672,51,62,0,56.5,2.6925981044769287,,,,
2,78,17.850000381469727,39,40,1,39.5,2.8820035457611084,0.1894054412841797,-17.0,-12,-22
3,72,17.350000381469727,33,34,0,33.5,2.85359263420105,,,,
3,78,24.56999969482422,36,37,1,36.5,3.201526165008545,0.3479335308074951,3.0,3,3
4,72,28.670000076293945,41,43,0,42.0,3.355851173400879,,,,
4,78,24.6200008392334,41,40,1,40.5,3.203559160232544,-0.15229201316833496,-1.5,0,-3
5,72,12.489999771118164,41,46,0,43.5,2.524928331375122,,,,
5,78,28.40999984741211,32,33,1,32.5,3.346741199493408,0.8218128681182861,-11.0,-9,-13
6,72,19.770000457763672,30,27,0,28.5,2.984165668487549,,,,
6,78,17.860000610351562,28,26,1,27.0,2.882563591003418,-0.10160207748413086,-1.5,-2,-1
7,72,14.739999771118164,35,43,0,39.0,2.6905648708343506,,,,
7,78,23.209999084472656,26,28,1,27.0,3.144583225250244,0.45401835441589355,-12.0,-9,-15
8,72,7.739999771118164,65,77,0,71.0,2.0464017391204834,,,,
8,78,10.770000457763672,42,44,1,43.0,2.3767645359039307,0.33036279678344727,-28.0,-23,-33
9,72,8.510000228881836,54,70,0,62.0,2.141242027282715,,,,
9,78,12.729999542236328,45,51,1,48.0,2.5439612865448,0.40271925926208496,-14.0,-9,-19
10,72,11.5,32,52,0,42.0,2.4423470497131348,,,,
10,78,10.630000114440918,42,37,1,39.5,2.363680124282837,-0.07866692543029785,-2.5,10,-15
11,72,8.149999618530273,22,28,0,25.0,2.098017930984497,,,,
11,78,8.890000343322754,32,39,1,35.5,2.184926986694336,0.08690905570983887,10.5,10,11
12,72,10.0600004196167,53,42,0,47.5,2.3085672855377197,,,,
12,78,12.4399995803833,29,42,1,35.5,2.5209169387817383,0.21234965324401855,-12.0,-24,0
13,72,19.979999542236328,31,41,0,36.0,2.9947316646575928,,,,
13,78,23.540000915527344,27,38,1,32.5,3.158701181411743,0.1639695167541504,-3.5,-4,-3
14,72,38.72999954223633,23,18,0,20.5,3.6566145420074463,,,,
14,78,32.06999969482422,19,19,1,19.0,3.467921018600464,-0.18869352340698242,-1.5,-4,1
15,72,22.68000030517578,34,41,0,37.5,3.121483564376831,,,,
15,78,34.88999938964844,25,27,1,26.0,3.5522003173828125,0.43071675300598145,-11.5,-9,-14
16,72,15.109999656677246,35,31,0,33.0,2.7153568267822266,,,,
16,78,17.399999618530273,25,35,1,30.0,2.8564701080322266,0.14111328125,-3.0,-10,4
17,72,16.040000915527344,40,30,0,35.0,2.775085687637329,,,,
17,78,24.459999084472656,26,32,1,29.0,3.1970391273498535,0.4219534397125244,-6.0,-14,2
18,72,31.040000915527344,25,32,0,28.5,3.435276746749878,,,,
18,78,43.369998931884766,23,23,1,23.0,3.769767999649048,0.3344912528991699,-5.5,-2,-9
19,72,23.989999771118164,43,46,0,44.5,3.1776371002197266,,,,
19,78,33.97999954223633,45,42,1,43.5,3.5257720947265625,0.34813499450683594,-1.0,2,-4
20,72,14.479999542236328,29,37,0,33.0,2.6727683544158936,,,,
20,78,26.219999313354492,17,28,1,22.5,3.2665224075317383,0.5937540531158447,-10.5,-12,-9
21,72,20.93000030517578,25,32,0,28.5,3.0411834716796875,,,,
21,78,27.309999465942383,23,31,1,27.0,3.307252883911133,0.2660694122314453,-1.5,-2,-1
22,72,19.84000015258789,29,30,0,29.5,2.9877002239227295,,,,
22,78,37.72999954223633,22,25,1,23.5,3.630455493927002,0.6427552700042725,-6.0,-7,-5
23,72,14.550000190734863,36,30,0,33.0,2.67759108543396,,,,
23,78,15.3100004196167,38,20,1,29.0,2.728506326675415,0.05091524124145508,-4.0,2,-10
24,72,14.0600004196167,37,43,0,40.0,2.643333911895752,,,,
24,78,14.850000381469727,58,26,1,42.0,2.697999954223633,0.05466604232788086,2.0,21,-17
25,72,13.479999542236328,41,38,0,39.5,2.6012070178985596,,,,
25,78,14.920000076293945,36,20,1,28.0,2.702702522277832,0.10149550437927246,-11.5,-5,-18
26,72,13.720000267028809,52,46,0,49.0,2.618854522705078,,,,
26,78,21.479999542236328,45,44,1,44.5,3.067122220993042,0.44826769828796387,-4.5,-7,-2
27,72,30.06999969482422,36,34,0,35.0,3.4035279750823975,,,,
27,78,44.5099983215332,39,30,1,34.5,3.7957139015197754,0.39218592643737793,-0.5,3,-4
28,72,3.690000057220459,48,54,0,51.0,1.3056265115737915,,,,
28,78,8.079999923706055,37,28,1,32.5,2.0893919467926025,0.783765435218811,-18.5,-11,-26
29,72,10.770000457763672,62,60,0,61.0,2.3767645359039307,,,,
29,78,15.1899995803833,44,48,1,46.0,2.720637321472168,0.3438727855682373,-15.0,-18,-12
30,72,20.899999618530273,46,40,0,43.0,3.0397491455078125,,,,
30,78,22.059999465942383,36,39,1,37.5,3.0937659740448,0.054016828536987305,-5.5,-10,-1
31,72,11.420000076293945,55,51,0,53.0,2.435366153717041,,,,
31,78,25.3700008392334,27,26,1,26.5,3.233567476272583,0.798201322555542,-26.5,-28,-25
32,72,15.390000343322754,51,69,0,60.0,2.733717918395996,,,,
32,78,7.860000133514404,35,53,1,44.0,2.061786651611328,-0.671931266784668,-16.0,-16,-16
33,72,7.519999980926514,31,44,0,37.5,2.017566204071045,,,,
33,78,10.109999656677246,46,48,1,47.0,2.3135249614715576,0.2959587574005127,9.5,15,4
