male,educ,wage,swage,exper,pexper,lwage,expersq,highgrad,college,grad,polytech,highdrop,lswage,pexpersq,mleeduc,mleeduc0
0,12,20400,11250,6,0,9.923290252685547,36,1,0,0,0,0,9.328123092651367,0,0,0
0,12,23850,12750,12,3,10.07953929901123,144,1,0,0,0,0,9.453286170959473,9,0,0
0,12,22800,11250,12,0,10.034515380859375,144,1,0,0,0,0,9.328123092651367,0,0,0
0,12,20700,11250,12,0,9.937889099121094,144,1,0,0,0,0,9.328123092651367,0,0,0
0,12,21300,11250,12,1,9.966462135314941,144,1,0,0,0,0,9.328123092651367,1,0,0
0,12,24300,15000,12,21,10.098231315612793,144,1,0,0,0,0,9.615805625915527,441,0,0
0,12,19650,13950,12,23,9.885832786560059,144,1,0,0,0,0,9.543234825134277,529,0,0
1,17,60000,32490,12,3,11.002099990844727,144,0,0,1,0,0,10.388688087463379,9,17,3
1,15,30300,15750,12,10,10.318902969360352,144,0,0,0,1,0,9.664595603942871,100,15,1
1,19,61250,33000,12,2,11.022719383239746,144,0,0,1,0,0,10.40426254272461,4,19,5
1,19,36000,19500,12,4,10.491273880004883,144,0,0,1,0,0,9.878170013427734,16,19,5
0,12,16200,10200,12,31,9.692766189575195,144,1,0,0,0,0,9.230142593383789,961,0,0
0,12,22800,11250,12,0,10.034515380859375,144,1,0,0,0,0,9.328123092651367,0,0,0
0,16,43500,19500,12,2,10.680516242980957,144,0,1,0,0,0,9.878170013427734,4,0,0
1,8,30300,15750,12,27,10.318902969360352,144,0,0,0,0,1,9.664595603942871,729,8,-6
1,15,31950,15750,12,12,10.371927261352539,144,0,0,0,1,0,9.664595603942871,144,15,1
1,15,35250,13500,12,1,10.470220565795898,144,0,0,0,1,0,9.510444641113281,1,15,1
1,15,37800,15000,12,6,10.540064811706543,144,0,0,0,1,0,9.615805625915527,36,15,1
1,15,31200,15750,12,8,10.348173141479492,144,0,0,0,1,0,9.664595603942871,64,15,1
1,15,29400,16500,12,12,10.288749694824219,144,0,0,0,1,0,9.711115837097168,144,15,1
1,19,70000,35040,12,13,11.156250953674316,144,0,0,1,0,0,10.464245796203613,169,19,5
1,15,33900,15750,12,17,10.431170463562012,144,0,0,0,1,0,9.664595603942871,289,15,1
1,15,27150,16500,12,14,10.209132194519043,144,0,0,0,1,0,9.711115837097168,196,15,1
0,12,22200,13800,12,34,10.007847785949707,144,1,0,0,0,0,9.532423973083496,1156,0,0
0,15,31350,11100,12,8,10.3529691696167,144,0,0,0,1,0,9.31470012664795,64,0,0
0,12,20850,13500,12,31,9.945109367370605,144,1,0,0,0,0,9.510444641113281,961,0,0
1,16,33300,17490,12,21,10.413312911987305,144,0,1,0,0,0,9.769384384155273,441,16,2
1,8,26250,16050,12,17,10.175421714782715,144,0,0,0,0,1,9.683464050292969,289,8,-6
1,15,31950,15750,12,10,10.371927261352539,144,0,0,0,1,0,9.664595603942871,100,15,1
1,19,66250,34980,12,17,11.101190567016602,144,0,0,1,0,0,10.462532043457031,289,19,5
1,18,86250,45000,11,9,11.365005493164062,121,0,0,1,0,0,10.714417457580566,81,18,4
1,12,30750,15000,11,10,10.33364486694336,121,1,0,0,0,0,9.615805625915527,100,12,-2
1,12,33540,15750,11,8,10.420494079589844,121,1,0,0,0,0,9.664595603942871,64,12,-2
1,16,34950,20250,11,10,10.461673736572266,121,0,1,0,0,0,9.915909767150879,100,16,2
1,15,40350,16500,11,14,10.6053466796875,121,0,0,0,1,0,9.711115837097168,196,15,1
1,12,30270,15750,11,14,10.317912101745605,121,1,0,0,0,0,9.664595603942871,196,12,-2
1,15,32400,15000,11,11,10.385913848876953,121,0,0,0,1,0,9.615805625915527,121,15,1
0,12,20400,11250,11,0,9.923290252685547,121,1,0,0,0,0,9.328123092651367,0,0,0
0,8,24150,12750,11,17,10.092040061950684,121,0,0,0,0,1,9.453286170959473,289,0,0
0,15,23850,13500,11,21,10.07953929901123,121,0,0,0,1,0,9.510444641113281,441,0,0
0,12,29700,13500,11,5,10.29890251159668,121,1,0,0,0,0,9.510444641113281,25,0,0
0,8,21600,13500,11,40,9.980448722839355,121,0,0,0,0,1,9.510444641113281,1600,0,0
0,12,24450,15750,11,15,10.104385375976562,121,1,0,0,0,0,9.664595603942871,225,0,0
