mnthborn,yearborn,age,electric,radio,tv,bicycle,educ,ceb,agefbrth,children,knowmeth,usemeth,monthfm,yearfm,agefm,idlnchld,heduc,agesq,urban,urb_educ,spirit,protest,catholic,frsthalf,educ0,evermarr
5,64,24,1,1,1,1,12,0,,0,1,0,,,,2,,576,1,12,0,0,0,1,0,0
1,56,32,1,1,1,1,13,3,25,3,1,1,11,80,24,3,12,1024,1,13,0,0,0,1,0,1
7,58,30,1,0,0,0,5,1,27,1,1,0,6,83,24,5,7,900,1,5,1,0,0,0,0,1
11,45,42,1,0,1,0,4,3,17,2,1,0,1,61,15,3,11,1764,1,4,0,0,0,0,0,1
5,45,43,1,1,1,1,11,2,24,2,1,1,3,66,20,2,14,1849,1,11,0,1,0,1,0,1
8,52,36,1,0,0,0,7,1,26,1,1,1,11,76,24,4,9,1296,1,7,0,0,0,0,0,1
7,51,37,1,1,1,1,16,4,20,4,1,1,5,78,26,4,17,1369,1,16,0,0,1,0,0,1
9,70,18,1,1,1,1,10,0,,0,1,1,,,,4,,324,1,10,0,0,1,0,0,0
12,53,34,0,1,0,0,5,1,19,1,1,1,7,72,18,4,3,1156,1,5,0,1,0,0,0,1
9,39,49,1,1,0,0,4,0,,0,1,0,11,61,22,4,1,2401,1,4,1,0,0,0,0,1
6,46,42,1,1,1,1,15,3,25,3,1,1,6,70,24,3,16,1764,1,15,0,0,0,1,0,1
10,59,29,1,1,0,0,7,3,23,3,1,1,1,84,24,6,7,841,1,7,1,0,0,0,0,1
12,42,45,1,1,0,0,0,4,18,2,1,0,1,66,23,6,,2025,1,0,1,0,0,0,1,1
2,40,48,1,1,0,0,4,10,19,8,1,1,10,66,26,4,3,2304,1,4,0,1,0,1,0,1
1,53,35,1,1,1,1,12,3,23,3,1,1,1,74,21,3,16,1225,1,12,0,1,0,1,0,1
6,62,26,1,1,0,0,7,0,,0,1,1,,,,4,,676,1,7,0,0,1,1,0,0
1,50,38,1,1,0,1,7,4,23,4,1,1,,,,5,,1444,1,7,0,1,0,1,0,0
8,41,47,1,1,0,0,5,2,17,2,1,0,,,,1,,2209,1,5,1,0,0,0,0,0
4,56,32,1,1,1,0,16,0,,0,1,1,12,81,25,2,16,1024,1,16,0,1,0,1,0,1
7,61,27,1,1,1,0,12,1,24,1,1,1,11,84,23,3,16,729,1,12,1,0,0,0,0,1
12,64,23,1,1,1,0,12,0,,0,1,1,1,83,18,2,12,529,1,12,0,1,0,0,0,1
3,49,39,1,1,1,1,11,4,28,4,1,0,4,72,23,4,16,1521,1,11,0,1,0,1,0,1
3,50,38,1,1,1,1,12,2,29,2,1,0,3,75,25,4,14,1444,1,12,0,0,0,1,0,1
7,49,39,1,1,0,1,6,4,18,4,1,0,11,67,18,4,10,1521,1,6,1,0,0,0,0,1
8,67,21,1,1,0,1,10,1,21,1,1,0,,,,1,,441,1,10,1,0,0,0,0,0
6,45,43,1,1,1,1,16,2,23,2,1,1,5,68,22,4,15,1849,1,16,0,1,0,1,0,1
1,47,41,1,1,1,1,13,6,19,6,1,1,3,65,18,6,15,1681,1,13,0,1,0,1,0,1
10,42,46,1,1,1,1,3,3,20,2,1,0,,,,4,,2116,1,3,0,1,0,0,0,0
9,63,25,0,0,0,0,10,1,20,1,1,1,,,,,,625,1,10,0,1,0,0,0,0
6,42,46,1,1,0,0,0,4,22,4,1,1,,,,4,,2116,1,0,0,0,0,1,1,0
9,39,49,1,1,1,1,12,3,27,3,1,1,1,61,21,3,15,2401,1,12,1,0,0,0,0,1
5,45,43,0,0,0,1,6,7,20,6,1,1,,,,,,1849,1,6,0,1,0,1,0,0
11,48,39,0,0,0,0,5,4,19,4,1,1,,,,4,,1521,1,5,0,1,0,0,0,0
11,48,39,0,0,0,0,5,4,19,4,1,1,,,,4,,1521,1,5,0,1,0,0,0,0
8,63,25,0,0,0,0,5,4,18,4,1,1,2,85,21,4,14,625,1,5,0,0,0,0,0,1
6,66,22,0,0,0,0,7,2,18,2,1,1,,,,4,,484,1,7,1,0,0,1,0,0
5,53,35,0,1,0,0,6,3,21,2,1,1,,,,2,,1225,1,6,0,1,0,1,0,0
1,48,40,1,1,1,1,12,2,26,2,1,1,3,73,25,2,15,1600,1,12,0,0,1,1,0,1
9,48,40,1,1,0,1,7,5,19,5,1,1,8,66,17,5,0,1600,1,7,1,0,0,0,0,1
3,59,29,0,0,0,0,0,2,17,1,1,1,,,,6,,841,1,0,0,1,0,1,1,0
7,55,33,1,1,0,0,12,1,26,1,1,1,4,78,22,4,12,1089,1,12,0,0,0,0,0,1
3,62,26,0,0,0,0,3,2,18,2,1,1,,,,2,,676,1,3,0,1,0,1,0,0
4,47,41,1,1,1,0,12,2,23,2,1,1,4,70,23,2,13,1681,1,12,0,1,0,1,0,1
3,67,21,1,1,0,0,7,1,17,1,1,1,,,,4,,441,1,7,0,1,0,1,0,0
3,69,19,1,1,0,0,10,0,,0,1,0,,,,4,,361,1,10,0,1,0,1,0,0
5,60,28,1,0,0,0,0,1,21,1,1,1,,,,4,,784,1,0,1,0,0,1,1,0
3,63,25,1,1,1,0,12,1,18,1,1,1,8,88,25,2,14,625,1,12,0,0,1,1,0,1
11,39,48,1,1,1,1,12,3,32,2,1,0,1,70,30,4,15,2304,1,12,0,0,1,0,0,1
11,56,32,1,1,1,1,14,3,22,3,1,1,12,78,22,3,14,1024,1,14,0,0,1,0,0,1
12,60,27,1,1,1,1,10,3,21,3,0,0,11,78,17,3,7,729,1,10,0,1,0,0,0,1
7,51,37,0,1,0,0,5,2,19,2,1,1,,,,6,,1369,1,5,1,0,0,0,0,0
10,64,24,0,0,0,0,10,0,,0,0,0,,,,2,,576,1,10,0,0,1,0,0,0
4,48,40,1,1,1,1,12,2,21,1,1,1,12,67,19,3,12,1600,1,12,0,0,1,1,0,1
5,39,49,1,1,1,0,17,5,18,5,1,1,1,57,17,5,10,2401,1,17,1,0,0,1,0,1
1,50,38,1,1,1,1,14,2,26,2,1,0,4,75,25,3,17,1444,1,14,0,0,0,1,0,1
7,56,32,1,1,1,1,13,2,20,2,1,1,8,75,19,6,,1024,1,13,0,0,0,0,0,1
6,66,22,1,1,1,1,7,0,,0,1,0,,,,4,,484,1,7,1,0,0,1,0,0
5,64,24,1,1,1,1,4,2,20,2,1,0,,,,4,,576,1,4,1,0,0,1,0,0
11,47,41,1,1,1,1,17,2,26,2,1,1,6,72,24,2,17,1681,1,17,0,0,0,0,0,1
7,58,30,0,1,0,0,7,1,17,0,1,1,9,76,18,3,8,900,1,7,0,0,1,0,0,1
8,42,46,1,1,0,0,5,5,21,5,1,1,,,,6,,2116,1,5,0,1,0,0,0,0
6,52,36,1,1,1,1,12,5,20,5,1,1,9,72,20,3,12,1296,1,12,0,1,0,1,0,1
12,42,45,1,1,1,1,3,0,,0,1,1,11,62,19,2,,2025,1,3,0,1,0,0,0,1
3,46,42,1,1,1,1,10,3,20,3,1,1,4,85,39,4,12,1764,1,10,0,1,0,1,0,1
2,72,16,1,1,1,1,8,1,16,1,1,0,,,,4,,256,1,8,1,0,0,1,0,0
7,44,44,1,1,1,0,10,4,26,4,1,0,2,70,25,4,12,1936,1,10,0,0,1,0,0,1
12,70,17,1,1,1,0,11,0,,0,1,0,,,,2,,289,1,11,0,0,1,0,0,0
10,73,15,1,1,1,0,8,0,,0,1,0,,,,0,,225,1,8,0,0,1,0,0,0
2,66,22,1,1,1,0,7,0,,0,1,1,,,,3,,484,1,7,0,1,0,1,0,0
7,59,29,1,1,0,1,7,3,17,2,1,1,,,,4,,841,1,7,0,1,0,0,0,0
10,64,24,1,1,1,1,16,1,20,1,1,1,,,,3,,576,1,16,0,1,0,0,0,0
11,52,36,1,1,0,0,2,1,25,0,1,0,4,88,35,4,0,1296,1,2,0,1,0,0,0,1
10,47,41,1,1,1,1,19,3,31,3,1,1,12,74,27,3,16,1681,1,19,0,1,0,0,0,1
10,39,49,1,0,0,0,6,2,22,2,0,0,11,61,22,2,4,2401,1,6,0,1,0,0,0,1
8,47,41,1,0,0,0,0,2,20,2,1,0,,,,2,,1681,1,0,0,0,1,0,1,0
4,41,47,1,1,0,1,15,2,30,2,1,1,8,62,21,2,15,2209,1,15,0,0,0,1,0,1
9,48,40,1,1,1,1,13,2,13,2,1,1,8,69,20,2,12,1600,1,13,0,0,1,0,0,1
1,49,39,1,1,1,0,15,4,22,3,1,1,12,71,22,4,13,1521,1,15,0,1,0,1,0,1
7,66,22,0,0,0,0,0,2,12,1,1,0,6,87,20,5,6,484,1,0,1,0,0,0,1,1
12,70,17,1,1,1,0,7,0,,0,1,1,,,,4,,289,1,7,0,0,0,0,0,0
7,58,30,1,1,1,1,16,2,17,2,1,1,2,83,24,2,15,900,1,16,1,0,0,0,0,1
7,52,36,1,1,1,1,14,2,23,2,1,1,10,74,22,4,10,1296,1,14,0,1,0,0,0,1
2,61,27,1,1,1,0,10,4,17,3,1,1,2,80,19,4,10,729,1,10,0,0,0,1,0,1
6,52,36,1,1,1,0,7,4,18,4,1,1,,,,6,,1296,1,7,0,1,0,1,0,0
5,71,17,1,1,1,0,8,0,,0,1,0,,,,2,,289,1,8,0,1,0,1,0,0
12,58,29,1,1,1,0,6,1,27,1,1,1,8,74,15,2,15,841,1,6,0,1,0,0,0,1
8,52,36,1,1,0,0,2,2,22,2,1,1,,,,3,,1296,1,2,0,0,0,0,0,0
9,42,46,1,1,1,1,10,5,22,5,1,1,12,66,24,4,10,2116,1,10,0,1,0,0,0,1
10,58,30,0,0,0,0,5,3,19,3,1,1,,,,3,,900,1,5,0,1,0,0,0,0
