age,soph,junior,senior,senior5,male,campus,business,engineer,colGPA,hsGPA,ACT,job19,job20,drive,bike,walk,voluntr,PC,greek,car,siblings,bgfriend,clubs,skipped,alcohol,gradMI,fathcoll,mothcoll
21,0,0,1,0,0,0,1,0,3.0,3.0,21,0,1,1,0,0,0,0,0,1,1,0,0,2.0,1.0,1,0,0
21,0,0,1,0,0,0,1,0,3.4000000953674316,3.200000047683716,24,0,1,1,0,0,0,0,0,1,0,1,1,0.0,1.0,1,1,1
20,0,1,0,0,0,0,1,0,3.0,3.5999999046325684,26,1,0,0,0,1,0,0,0,1,1,0,1,0.0,1.0,1,1,1
19,1,0,0,0,1,1,1,0,3.5,3.5,27,1,0,0,0,1,0,0,0,0,1,0,0,0.0,0.0,0,0,0
20,0,1,0,0,0,0,1,0,3.5999999046325684,3.9000000953674316,28,0,1,0,1,0,0,0,0,1,1,1,0,0.0,1.5,1,1,0
20,0,0,1,0,1,1,1,0,3.0,3.4000000953674316,25,0,0,0,0,1,0,0,0,1,1,0,0,0.0,0.0,0,1,0
22,0,0,0,1,0,0,1,0,2.700000047683716,3.5,25,0,0,0,1,0,0,0,1,1,1,0,1,0.0,2.0,1,0,1
22,0,0,0,1,0,0,0,0,2.700000047683716,3.0,22,1,0,1,0,0,0,1,0,0,1,1,0,3.0,3.0,1,1,1
22,0,0,0,1,0,0,0,0,2.700000047683716,3.0,21,1,0,1,0,0,0,0,0,1,1,1,1,2.0,2.5,1,1,1
19,1,0,0,0,0,0,1,0,3.799999952316284,4.0,27,1,0,0,0,1,0,1,0,0,1,0,1,0.5,0.75,1,0,1
21,0,0,1,0,1,0,1,0,2.799999952316284,3.0,19,1,0,0,0,1,0,0,0,1,1,1,0,2.0,1.0,1,0,0
22,0,0,0,1,0,1,1,0,2.9000000953674316,3.0999999046325684,22,0,1,0,0,1,1,0,0,1,1,1,1,1.0,1.0,1,0,1
21,0,0,1,0,0,1,1,0,3.0,3.5,23,1,0,0,0,1,0,1,0,1,1,1,1,0.0,1.0,1,0,1
20,0,1,0,0,1,1,1,0,2.9000000953674316,3.799999952316284,29,0,0,0,0,1,0,0,0,0,1,0,0,3.0,2.5,0,1,1
20,0,1,0,0,1,0,1,0,3.299999952316284,3.700000047683716,25,0,0,1,0,0,0,1,1,0,1,0,0,1.0,4.0,1,1,1
22,0,0,1,0,1,0,1,0,2.5999999046325684,3.0,21,0,0,1,0,0,0,0,0,1,1,0,1,3.0,3.5,1,1,0
19,1,0,0,0,1,0,0,1,2.5,3.5,29,0,1,0,0,1,0,1,0,1,1,0,0,4.0,3.0,1,1,0
22,0,0,1,0,1,0,1,0,2.5,3.0,23,0,0,1,0,0,0,0,0,1,1,0,1,5.0,5.0,0,1,0
20,0,1,0,0,1,0,1,0,2.4000000953674316,3.0,21,0,0,1,0,0,0,0,0,1,1,0,0,2.0,4.0,0,1,0
21,0,0,1,0,1,0,1,0,3.5999999046325684,3.5,29,0,0,0,1,0,0,1,0,1,1,1,1,1.0,5.0,1,1,1
20,0,1,0,0,0,0,1,0,2.5999999046325684,3.5,25,1,0,1,0,0,0,0,1,1,1,1,1,3.0,2.0,1,1,1
22,0,0,1,0,1,0,0,1,2.700000047683716,3.0,23,1,0,0,0,1,0,0,0,1,1,0,1,1.0,1.0,1,0,1
20,0,1,0,0,0,0,1,0,2.9000000953674316,3.5999999046325684,27,0,0,0,1,0,1,1,0,1,1,1,1,1.0,1.0,0,1,0
21,0,0,1,0,0,1,0,0,3.0,4.0,25,1,0,0,1,0,1,1,1,1,1,1,1,0.0,0.0,1,0,0
20,0,1,0,0,1,0,1,0,3.299999952316284,3.5999999046325684,33,0,0,0,1,0,1,0,1,0,1,1,0,2.0,5.0,1,1,0
20,0,1,0,0,0,0,1,0,3.0999999046325684,3.299999952316284,24,1,0,0,0,1,1,0,0,1,1,1,1,1.0,1.0,1,1,0
20,0,1,0,0,0,0,1,0,3.0,3.5999999046325684,27,1,0,0,1,0,0,1,1,0,1,1,0,2.0,1.0,1,0,0
20,0,1,0,0,0,0,0,0,3.200000047683716,3.0999999046325684,20,0,0,1,0,0,0,1,1,1,1,0,1,1.0,2.0,1,0,0
20,0,1,0,0,0,0,1,0,3.0,3.4000000953674316,21,0,0,0,1,0,0,1,0,1,0,0,0,0.0,2.0,1,1,1
20,0,1,0,0,0,0,1,0,3.4000000953674316,3.700000047683716,24,0,0,0,1,0,0,0,1,0,1,1,0,0.5,2.0,1,1,1
21,0,1,0,0,1,0,1,0,2.9000000953674316,3.700000047683716,20,0,0,0,1,0,0,0,0,1,1,0,0,1.0,2.0,1,0,0
21,0,0,1,0,0,0,1,0,3.5,3.299999952316284,23,0,0,1,0,0,0,1,1,1,1,1,0,1.0,0.0,1,1,1
22,0,0,1,0,1,0,1,0,3.700000047683716,3.299999952316284,22,0,0,0,1,0,0,1,0,1,1,1,1,0.0,1.0,1,1,0
