sat,tothrs,colgpa,athlete,verbmath,hsize,hsrank,hsperc,female,white,black,hsizesq
920,43,2.0399999618530273,1,0.4838699996471405,0.1,4,40.0,1,0,0,0.009999999776482582
1170,18,4.0,0,0.8281300067901611,9.4,191,20.319149017333984,0,1,0,88.36000061035156
810,14,1.7799999713897705,1,0.8837199807167053,1.19,42,35.29411697387695,0,1,0,1.416100025177002
940,40,2.4200000762939453,0,0.8076900243759155,5.71,252,44.13309860229492,0,1,0,32.60409927368164
1180,18,2.609999895095825,0,0.735289990901947,2.14,86,40.18691635131836,0,1,0,4.579599857330322
980,114,3.0299999713897705,0,0.8148099780082703,2.68,41,15.298507690429688,1,1,0,7.182400226593018
880,78,1.840000033378601,0,0.7599999904632568,3.11,161,51.768489837646484,0,0,0,9.672100067138672
980,55,3.049999952316284,0,0.8846200108528137,2.68,101,37.68656539916992,0,1,0,7.182400226593018
1240,18,3.0,0,0.6986299753189087,3.67,161,43.86920928955078,0,1,0,13.468899726867676
1230,17,2.0,0,0.8636400103569031,0.1,3,30.0,0,1,0,0.009999999776482582
1140,78,2.9800000190734863,0,0.932200014591217,3.34,95,28.443113327026367,1,1,0,11.155599594116211
1150,43,2.930000066757202,0,0.8548399806022644,3.59,13,3.6211698055267334,1,1,0,12.888099670410156
1080,17,2.0,1,0.800000011920929,3.18,31,9.748427391052246,0,1,0,10.11240005493164
990,64,2.2100000381469727,0,0.6779699921607971,1.92,51,26.5625,1,1,0,3.6863999366760254
1000,45,3.3299999237060547,0,0.7857099771499634,3.69,29,7.859078407287598,1,1,0,13.616100311279297
1050,14,1.0700000524520874,0,0.7796599864959717,2.66,134,50.375938415527344,1,1,0,7.0756001472473145
1160,41,2.2899999618530273,0,0.8709700107574463,1.45,99,68.27586364746094,1,1,0,2.1024999618530273
1190,13,3.1500000953674316,0,1.125,1.76,74,42.04545593261719,0,1,0,3.097599983215332
1030,110,2.6500000953674316,0,1.1020400524139404,3.86,81,20.984455108642578,1,1,0,14.8996000289917
960,106,2.4100000858306885,1,1.0,3.83,66,17.232376098632812,0,1,0,14.668899536132812
840,104,2.390000104904175,0,0.647059977054596,1.07,7,6.542056083679199,0,1,0,1.1448999643325806
920,115,2.640000104904175,0,1.0,2.17,65,29.953916549682617,1,1,0,4.708899974822998
840,96,2.180000066757202,0,0.8666700124740601,2.34,141,60.25640869140625,1,1,0,5.475599765777588
1000,50,2.8399999141693115,0,0.7857099771499634,4.63,133,28.7257022857666,0,1,0,21.436899185180664
