year,fcode,employ,sales,avgsal,scrap,rework,tothrs,union,grant,d89,d88,totrain,hrsemp,lscrap,lemploy,lsales,lrework,lhrsemp,lscrap_1,grant_1,clscrap,cgrant,clemploy,clsales,lavgsal,clavgsal,cgrant_1,chrsemp,clhrsemp
1987,410032.0,100,47000000.0,35000.0,,,12,0,0,0,0,100,12.0,,4.605170249938965,17.665658950805664,,2.5649492740631104,,0,,0,,,10.463103294372559,,,,
1988,410032.0,131,43000000.0,37000.0,,,8,0,0,0,1,50,3.0534350872039795,,4.875197410583496,17.576709747314453,,1.3995647430419922,,0,,0,0.27002716064453125,-0.08894920349121094,10.518672943115234,0.05556964874267578,0,-8.946564674377441,-1.1653845310211182
1989,410032.0,123,49000000.0,39000.0,,,8,0,0,1,0,50,3.252032518386841,,4.8121843338012695,17.70733070373535,,1.4473971128463745,,0,,0,-0.06301307678222656,0.13062095642089844,10.571316719055176,0.052643775939941406,0,0.19859743118286133,0.047832369804382324
1987,410440.0,12,1560000.0,10500.0,,,12,0,0,0,0,12,12.0,,2.4849066734313965,14.260196685791016,,2.5649492740631104,,0,,0,,,9.259130477905273,,,,
1988,410440.0,13,1970000.0,11000.0,,,12,0,0,0,1,13,12.0,,2.5649492740631104,14.49354362487793,,2.5649492740631104,,0,,0,0.08004260063171387,0.23334693908691406,9.30565071105957,0.046520233154296875,0,0.0,0.0
1989,410440.0,14,2350000.0,11500.0,,,10,0,0,1,0,14,10.0,,2.6390573978424072,14.669925689697266,,2.397895336151123,,0,,0,0.07410812377929688,0.17638206481933594,9.350102424621582,0.04445171356201172,0,-2.0,-0.1670539379119873
1987,410495.0,20,750000.0,17680.0,,,50,0,0,0,0,15,37.5,,2.995732307434082,13.527828216552734,,3.650658130645752,,0,,0,,,9.780189514160156,,,,
1988,410495.0,25,110000.0,18720.0,,,50,0,0,0,1,10,20.0,,3.2188758850097656,11.608235359191895,,3.044522523880005,,0,,0,0.2231435775756836,-1.9195928573608398,9.837347984313965,0.057158470153808594,0,-17.5,-0.6061356067657471
1989,410495.0,24,950000.0,19760.0,,,50,0,0,1,0,20,41.66666793823242,,3.178053855895996,13.764217376708984,,3.75341796875,,0,,0,-0.04082202911376953,2.15598201751709,9.891414642333984,0.05406665802001953,0,21.666667938232422,0.7088954448699951
1987,410500.0,200,23741000.0,13729.0,,,0,0,0,0,0,0,0.0,,5.2983174324035645,16.98271369934082,,0.0,,0,,0,,,9.527265548706055,,,,
1988,410500.0,155,19659000.0,14287.0,,,0,0,0,0,1,0,0.0,,5.0434250831604,16.79404640197754,,0.0,,0,,0,-0.25489234924316406,-0.18866729736328125,9.567105293273926,0.039839744567871094,0,0.0,0.0
1989,410500.0,80,25992000.0,15758.0,,,24,0,0,1,0,20,6.0,,4.382026672363281,17.073299407958984,,1.945910096168518,,0,,0,-0.6613984107971191,0.2792530059814453,9.665103912353516,0.09799861907958984,0,6.0,1.945910096168518
1987,410501.0,,6000000.0,,,,0,0,0,0,0,10,,,,15.607270240783691,,,,0,,0,,,,,,,
1988,410501.0,,8000000.0,,,,0,0,0,0,1,20,,,,15.894951820373535,,,,0,,0,,0.28768157958984375,,,0,,
1989,410501.0,,10000000.0,,,,0,0,0,1,0,25,,,,16.11809539794922,,,,0,,0,,0.2231435775756836,,,0,,
1987,410509.0,,,,,,0,0,0,0,0,0,,,,,,,,0,,0,,,,,,,
1988,410509.0,,2800000.0,18000.0,,,0,0,0,0,1,0,,,,14.84512996673584,,,,0,,0,,,9.798127174377441,,0,,
1989,410509.0,20,3400000.0,18500.0,,,0,0,0,1,0,0,0.0,,2.995732307434082,15.039285659790039,,0.0,,0,,0,,0.19415569305419922,9.825526237487793,0.027399063110351562,0,,
1987,410513.0,15,1413900.0,18465.0,,,0,0,0,0,0,0,0.0,,2.70805025100708,14.16186237335205,,0.0,,0,,0,,,9.82363224029541,,,,
1988,410513.0,16,1869348.0,18972.0,,,0,0,0,0,1,0,0.0,,2.7725887298583984,14.441100120544434,,0.0,,0,,0,0.06453847885131836,0.2792377471923828,9.850719451904297,0.02708721160888672,0,0.0,0.0
1989,410513.0,16,1857765.0,19589.0,,,20,0,0,1,0,16,20.0,,2.7725887298583984,14.434885025024414,,3.044522523880005,,0,,0,0.0,-0.006215095520019531,9.882723808288574,0.032004356384277344,0,20.0,3.044522523880005
1987,410517.0,24,,13000.0,,,0,1,0,0,0,0,0.0,,3.178053855895996,,,0.0,,0,,0,,,9.472704887390137,,,,
1988,410517.0,20,,12168.0,,,0,1,0,0,1,0,0.0,,2.995732307434082,,,0.0,,0,,0,-0.18232154846191406,,9.406564712524414,-0.06614017486572266,0,0.0,0.0
1989,410517.0,18,,11960.0,,,0,1,0,1,0,0,0.0,,2.890371799468994,,,0.0,,0,,0,-0.10536050796508789,,9.389323234558105,-0.017241477966308594,0,0.0,0.0
1987,410518.0,48,2160900.0,14352.0,,,14,0,0,0,0,3,0.875,,3.8712010383605957,14.58603572845459,,0.6286086440086365,,0,,0,,,9.57164478302002,,,,
1988,410518.0,47,2454500.0,16328.0,,,14,0,0,0,1,3,0.8936170339584351,,3.8501474857330322,14.713433265686035,,0.63848876953125,,0,,0,-0.021053552627563477,0.1273975372314453,9.700636863708496,0.12899208068847656,0,0.01861703395843506,0.009880125522613525
1989,410518.0,66,3359800.0,17555.0,,,14,0,0,1,0,4,0.8484848737716675,,4.18965482711792,15.027392387390137,,0.6143662929534912,,0,,0,0.3395073413848877,0.31395912170410156,9.773094177246094,0.07245731353759766,0,-0.04513216018676758,-0.02412247657775879
1987,410521.0,17,1453081.0,16454.0,,,150,0,0,0,0,5,44.117645263671875,,2.8332133293151855,14.189196586608887,,3.8092734813690186,,0,,0,,,9.70832347869873,,,,
1988,410521.0,16,1546911.0,18529.0,,,100,0,0,0,1,3,18.75,,2.7725887298583984,14.251770973205566,,2.9831535816192627,,0,,0,-0.06062459945678711,0.06257438659667969,9.827092170715332,0.11876869201660156,0,-25.367645263671875,-0.8261198997497559
1989,410521.0,14,1672366.0,26428.0,,,0,0,0,1,0,0,0.0,,2.6390573978424072,14.329750061035156,,0.0,,0,,0,-0.1335313320159912,0.07797908782958984,10.18217945098877,0.3550872802734375,0,-18.75,-2.9831535816192627
1987,410523.0,70,8000000.0,19760.0,0.05999999865889549,,40,0,0,0,0,35,20.0,-2.813410758972168,4.248495101928711,15.894951820373535,,3.044522523880005,,0,,0,,,9.891414642333984,,,,
1988,410523.0,85,11000000.0,22360.0,0.05000000074505806,,40,0,0,0,1,40,18.823530197143555,-2.995732307434082,4.442651271820068,16.21340560913086,,2.9868695735931396,-2.813410758972168,0,-0.18232154846191406,0,0.19415616989135742,0.3184537887573242,10.015028953552246,0.12361431121826172,0,-1.1764698028564453,-0.057652950286865234
