"kids","morekids","boys2","girls2","boy1st","boy2nd","samesex","multi2nd","age","agefstm","black","hispan","worked","weeks","hours","labinc","faminc","nonmomi","educ","agesq"
2,0,0,0,1,0,0,0,35,27,1,0,0,0,0,0,44.4500007629395,44.4500007629395,14,1225
3,1,0,0,0,1,0,0,32,20,1,0,1,40,40,14.7047004699707,38.0475006103516,23.3428001403809,12,1024
2,0,1,0,1,1,1,0,30,19,1,0,1,52,35,20.1625499725342,20.5928897857666,0.430329978466034,12,900
2,0,0,0,1,0,0,0,33,23,1,0,1,50,40,21.0022201538086,83.9878845214844,62.9856910705566,14,1089
2,0,0,1,0,0,1,0,31,26,1,0,1,26,48,21.8628902435303,88.8264999389648,66.9636306762695,12,961
2,0,0,0,1,0,0,0,35,24,1,0,1,52,40,40.3985900878906,58.9657821655273,18.5671901702881,16,1225
3,1,0,0,1,0,0,0,28,18,1,0,1,52,40,29.5038814544678,73.8488845825195,44.3450317382812,16,784
3,1,1,0,1,1,1,0,30,19,1,0,1,52,40,13.6551198959351,61.946590423584,48.2914695739746,12,900
2,0,0,0,0,1,0,0,23,19,1,0,1,52,35,12.6055307388306,29.4094104766846,16.8038806915283,12,529
2,0,0,0,1,0,0,0,32,22,1,0,1,52,40,27.2997493743896,84.4182510375977,57.1184997558594,12,1024
2,0,0,0,1,0,0,0,31,18,1,0,0,0,0,0,36.7040328979492,36.7040328979492,13,961
2,0,0,0,1,0,0,0,28,19,0,1,1,10,40,1.79479002952576,6.78033018112183,4.98553991317749,6,784
3,1,0,1,0,0,1,0,33,26,1,0,1,48,38,12.6055307388306,67.1945037841797,54.5890007019043,14,1089
2,0,0,1,0,0,1,0,29,21,1,0,1,52,40,29.3989200592041,60.8969993591309,31.4980907440186,13,841
2,0,1,0,1,1,1,0,21,17,1,0,1,52,40,13.6551198959351,40.7449417114258,27.0898303985596,12,441
3,1,0,0,1,0,0,1,28,17,1,0,0,0,0,0,31.4980907440186,31.4980907440186,12,784
3,1,0,1,0,0,1,0,35,17,1,0,1,47,8,18.9030513763428,44.114128112793,25.2110614776611,12,1225
3,1,0,0,1,0,0,0,25,18,1,0,1,50,40,18.9030513763428,22.901969909668,3.99891996383667,9,625
4,1,0,0,1,0,0,0,33,22,1,0,1,17,40,7.44156980514526,52.605281829834,45.1637191772461,20,1089
2,0,1,0,1,1,1,0,29,20,1,0,1,52,40,37.7955894470215,73.4920654296875,35.6964416503906,13,841
3,1,0,0,0,1,0,0,32,20,1,0,1,52,40,17.328670501709,34.5523796081543,17.2237205505371,12,1024
3,1,0,0,0,1,0,0,28,19,0,1,0,0,0,0,37.7955894470215,37.7955894470215,11,784
2,0,1,0,1,1,1,0,22,19,1,0,1,24,40,8.40719032287598,16.814380645752,8.40719032287598,12,484
2,0,0,0,1,0,0,0,25,18,1,0,1,52,38,14.7047004699707,31.5085906982422,16.8038806915283,12,625
2,0,1,0,1,1,1,0,27,20,1,0,0,0,0,0,20.7503299713135,20.7503299713135,12,729
3,1,0,1,0,0,1,0,33,25,1,0,1,40,40,14.7047004699707,41.1647796630859,26.4600791931152,16,1089
3,1,1,0,1,1,1,0,22,15,1,0,1,36,40,3.99891996383667,22.901969909668,18.9030513763428,10,484
2,0,0,0,1,0,0,0,27,19,1,0,1,38,40,14.3688402175903,52.5108070373535,38.1419677734375,13,729
2,0,0,0,1,0,0,0,30,19,1,0,1,52,40,21.0022201538086,39.4854431152344,18.4832210540771,12,900
2,0,0,0,1,0,0,0,22,19,1,0,0,0,0,0,46.192310333252,46.192310333252,16,484
2,0,0,1,0,0,1,0,29,20,1,0,1,52,35,13.2352895736694,35.0981597900391,21.8628902435303,10,841
4,1,0,0,1,0,0,0,33,26,1,0,1,36,40,35.6964416503906,76.8716888427734,41.1752815246582,18,1089
2,0,1,0,1,1,1,0,29,19,1,0,1,52,40,6.30802011489868,31.519079208374,25.2110614776611,12,841
4,1,1,0,1,1,1,0,26,18,1,0,1,4,40,10.5063600540161,67.2050018310547,56.6986618041992,12,676
2,0,0,1,0,0,1,0,33,23,1,0,0,0,0,0,37.8480911254883,37.8480911254883,12,1089
2,0,0,0,0,1,0,0,31,25,1,0,1,52,40,38.8451919555664,103.930061340332,65.0848770141602,16,961
3,1,0,0,1,0,0,0,25,17,1,0,1,12,30,2.52950000762939,27.614631652832,25.0851097106934,12,625
3,1,0,0,0,1,0,0,34,19,1,0,0,0,0,0,12.6055307388306,12.6055307388306,12,1156
2,0,0,0,1,0,0,0,28,23,1,0,1,52,40,28.0134716033936,56.4047813415527,28.3913097381592,18,784
3,1,0,0,0,1,0,1,29,22,1,0,1,52,40,25.2005805969238,60.8969993591309,35.6964416503906,17,841
2,0,1,0,1,1,1,0,25,18,1,0,1,50,40,17.8534698486328,45.1532173156738,27.2997493743896,12,625
2,0,0,0,0,1,0,0,26,21,1,0,1,36,5,3.89397001266479,20.6978397369385,16.8038806915283,14,676
3,1,0,0,1,0,0,0,26,21,1,0,0,0,0,0,12.6160306930542,12.6160306930542,16,676
2,0,0,1,0,0,1,0,34,19,1,0,1,52,40,16.2580890655518,35.1611595153809,18.9030513763428,12,1156
2,0,0,0,0,1,0,0,25,18,1,0,1,52,40,31.4980907440186,62.9961929321289,31.4980907440186,11,625
2,0,0,1,0,0,1,0,29,20,1,0,1,48,40,12.6055307388306,33.5132827758789,20.9077701568604,15,841
3,1,1,0,1,1,1,0,30,19,1,0,0,0,0,0,46.381217956543,46.381217956543,13,900
2,0,0,1,0,0,1,0,35,25,1,0,1,52,40,12.6055307388306,73.1246871948242,60.5191612243652,12,1225
2,0,0,1,0,0,1,0,34,24,1,0,1,50,40,21.0022201538086,74.4996337890625,53.4974403381348,12,1156
4,1,0,0,0,1,0,0,34,19,1,0,1,36,40,9.4567699432373,24.5813102722168,15.1245403289795,11,1156
2,0,0,0,1,0,0,0,23,17,1,0,1,52,40,16.0481796264648,24.0775203704834,8.02933979034424,12,529
3,1,0,0,0,1,0,0,29,16,1,0,1,52,40,29.3989200592041,62.9961929321289,33.5972518920898,12,841
4,1,0,0,0,1,0,0,33,20,1,0,0,0,0,0,11.944299697876,11.944299697876,12,1089
3,1,0,0,1,0,0,0,33,19,1,0,0,0,0,0,21.0022201538086,21.0022201538086,8,1089
3,1,0,0,1,0,0,0,34,19,1,0,0,0,0,0,54.5890007019043,54.5890007019043,12,1156
