occ,loanamt,action,msa,suffolk,appinc,typur,unit,married,dep,emp,yjob,self,atotinc,cototinc,hexp,price,other,liq,rep,gdlin,lines,mortg,cons,pubrec,hrat,obrat,fixadj,term,apr,prop,inss,inson,gift,cosign,unver,review,netw,unem,min30,bd,mi,old,vr,sch,black,hispan,male,reject,approve,mortno,mortperf,mortlat1,mortlat2,chist,multi,loanprc,thick,white
1,89,1,1120,0,72,0,1,0,0,0,0,0,5849.0,0.0,1031.0,118.0,0.0,34.5,1,1,15.0,2,1,0,17.6299991607666,34.5,0,360.0,118.0,1,0,0,0,0,0,1,99.5999984741211,3.200000047683716,0,0,1,0,1,1,0,0,,0,1,0,1,0,0,1,0,0.7542372941970825,0,1
1,128,3,1120,0,74,0,1,1,1,0,0,0,4583.0,1508.0,1391.0,160.0,0.0,52.0,3,1,19.0,2,2,0,22.540000915527344,34.099998474121094,1,360.0,175.0,2,0,0,0,0,0,999,847.0,3.200000047683716,0,0,1,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0.800000011920929,1,1
1,128,1,1120,0,84,3,1,0,0,1,1,0,2666.0,4416.0,1371.0,143.0,0.0,37.0,6,1,18.0,2,2,0,19.0,26.0,0,180.0,145.0,2,0,0,0,0,0,3,40.0,3.9000000953674316,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0.8951048851013184,1,1
1,66,1,1120,0,36,0,1,1,0,0,0,1,3000.0,0.0,839.0,110.0,0.0,19.0,1,1,25.0,2,6,1,24.0,37.0,0,360.0,110.0,2,0,0,1,0,0,2,158.0,3.0999999046325684,0,0,1,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0.6000000238418579,0,1
1,120,1,1120,0,59,8,1,1,0,0,0,0,2583.0,2358.0,1341.0,134.0,0.0,31.0,1,1,15.0,2,1,0,25.100000381469727,32.099998474121094,0,360.0,135.0,1,1,0,0,0,0,2,69.0,4.300000190734863,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0.89552241563797,0,1
1,111,1,1120,0,63,9,1,0,0,0,0,0,2208.0,2959.0,1122.0,138.0,0.0,169.0,2,1,10.0,2,6,0,21.0,33.0,0,360.0,144.0,2,0,0,0,0,0,1,262.0,3.200000047683716,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0.804347813129425,0,1
1,141,1,1120,1,72,1,1,0,0,0,1,0,6000.0,0.0,1870.0,157.0,0.0,38.0,1,1,9.0,2,1,0,32.0,36.0,0,360.0,162.0,1,1,0,0,0,0,1,46.0,3.200000047683716,0,0,0,1,1,1,0,0,1,0,1,0,1,0,0,1,0,0.8980891704559326,0,1
1,276,1,1120,0,90,6,1,0,0,0,1,0,7500.0,0.0,2706.0,346.0,0.0,142.0,1,1,5.0,2,1,0,36.0,37.0,1,360.0,365.0,2,0,0,0,0,0,1,214.0,3.200000047683716,0,0,1,1,1,1,0,0,1,0,1,0,1,0,0,1,0,0.7976878881454468,0,1
1,100,1,1120,0,72,1,1,1,1,1,1,0,3234.0,2524.0,1112.0,99.69999694824219,0.0,24.5,1,1,2.0,2,1,0,19.309999465942383,30.700000762939453,0,360.0,105.0,2,1,0,0,0,0,3,38.79999923706055,1.7999999523162842,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,1.0030090808868408,0,1
1,267,1,1120,0,144,0,1,1,2,0,0,1,5417.0,4196.0,2959.0,422.0,0.0,111.0,3,1,15.0,1,1,0,26.510000228881836,49.0,0,360.0,422.0,2,0,0,0,0,0,2,374.0,3.0999999046325684,0,0,1,1,1,1,0,0,1,0,1,1,0,0,0,1,0,0.6327013969421387,1,1
1,175,1,1120,0,97,0,1,1,0,0,0,0,6292.0,1758.0,2081.0,346.70001220703125,0.0,186.60000610351562,4,1,16.0,1,2,0,26.0,37.0,0,180.0,351.0,2,0,0,0,0,0,1,348.3999938964844,5.300000190734863,0,0,1,1,0,1,0,0,1,0,1,1,0,0,0,1,0,0.5047591328620911,1,1
1,95,1,1120,0,46,1,1,1,0,0,1,0,2333.0,1516.0,1005.0,135.0,0.0,52.33000183105469,1,1,16.0,2,6,0,26.100000381469727,37.099998474121094,0,360.0,138.0,2,0,0,0,0,0,2,66.03199768066406,3.200000047683716,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0.7037037014961243,0,1
1,158,3,1120,1,666,0,1,1,4,0,0,0,3036.0,2504.0,1442.0,210.0,39.0,188.0,1,0,13.0,2,6,1,29.0,42.0,1,360.0,237.0,1,0,0,0,0,0,3,239.0,10.600000381469727,0,0,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0.7523809671401978,0,1
1,110,1,1120,0,60,9,1,1,0,0,0,0,5720.0,0.0,1373.0,143.0,0.0,153.0,2,1,17.0,1,3,0,24.0,32.0,0,360.0,148.0,2,0,0,0,0,0,2,345.0,3.0999999046325684,0,0,1,1,0,1,0,0,1,0,1,1,0,0,0,1,0,0.7692307829856873,0,1
1,40,1,1120,0,48,0,1,1,0,0,0,0,3103.0,307.0,538.0,197.0,0.0,34.0,1,1,14.0,1,1,0,16.0,16.0,1,360.0,197.0,2,0,0,0,0,0,1,155.0,10.600000381469727,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0.20304568111896515,0,1
1,70,1,1120,1,33,0,1,1,1,1,1,1,2800.0,0.0,688.0,78.0,0.0,10.0,1,1,0.0,2,1,0,24.5,37.099998474121094,1,360.0,118.0,1,1,0,0,0,0,1,89.0,3.200000047683716,1,1,0,0,1,1,1,0,1,0,1,0,1,0,0,1,0,0.8974359035491943,0,0
1,168,1,1120,0,66,1,1,1,2,0,1,0,4006.0,1526.0,1733.0,210.0,0.0,66.0,2,1,2.0,2,1,0,31.299999237060547,32.20000076293945,0,360.0,210.0,2,0,0,0,0,0,2,83.0999984741211,3.200000047683716,0,1,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0.800000011920929,0,1
2,114,1,1120,1,98,3,1,1,1,0,0,0,5438.0,2656.0,1378.0,170.0,0.0,36.0,1,1,13.0,1,1,0,20.0,26.0,0,360.0,163.0,1,0,0,0,0,0,1,514.0,10.600000381469727,0,0,1,1,0,1,0,0,1,0,1,1,0,0,0,1,0,0.6705882549285889,0,1
