salary,teamsal,nl,years,games,atbats,runs,hits,doubles,triples,hruns,rbis,bavg,bb,so,sbases,fldperc,frstbase,scndbase,shrtstop,thrdbase,outfield,catcher,yrsallst,hispan,black,whitepop,blackpop,hisppop,pcinc,gamesyr,hrunsyr,atbatsyr,allstar,slugavg,rbisyr,sbasesyr,runsyr,percwhte,percblck,perchisp,blckpb,hispph,whtepw,blckph,hisppb,lsalary
6329213.0,38407380.0,1,12,1705,6705,1076,1939,320,67,231,836,289.0,619,948,314,989,0,1,0,0,0,0,9,0,0,5772110.0,1547725.0,893422.0,18840,142.0833282470703,19.25,558.75,75.0,46.025352478027344,69.66666412353516,26.16666603088379,89.66666412353516,70.27796936035156,18.844228744506836,10.877803802490234,0.0,0.0,70.27796936035156,0.0,0.0,15.660686492919922
3375000.0,38407380.0,1,8,918,3333,407,863,156,38,73,342,259.0,137,582,133,968,0,0,1,0,0,0,2,0,1,5772110.0,1547725.0,893422.0,18840,114.75,9.125,416.625,25.0,39.42394256591797,42.75,16.625,50.875,70.27796936035156,18.844228744506836,10.877803802490234,18.844228744506836,0.0,0.0,10.877803802490234,0.0,15.031906127929688
3100000.0,38407380.0,1,5,751,2807,370,840,148,18,46,355,299.0,341,228,41,994,1,0,0,0,0,0,0,0,0,5772110.0,1547725.0,893422.0,18840,150.1999969482422,9.199999809265137,561.4000244140625,0.0,41.396507263183594,71.0,8.199999809265137,74.0,70.27796936035156,18.844228744506836,10.877803802490234,0.0,0.0,70.27796936035156,0.0,0.0,14.94691276550293
2900000.0,38407380.0,1,8,1056,3337,405,816,143,18,107,421,245.0,306,653,15,971,0,0,0,1,0,0,0,0,0,5772110.0,1547725.0,893422.0,18840,132.0,13.375,417.125,0.0,39.43661880493164,52.625,1.875,50.625,70.27796936035156,18.844228744506836,10.877803802490234,0.0,0.0,70.27796936035156,0.0,0.0,14.880221366882324
1650000.0,38407380.0,1,12,1196,3603,437,928,19,16,124,541,258.0,316,725,32,977,0,0,0,0,1,0,0,0,1,5772110.0,1547725.0,893422.0,18840,99.66666412353516,10.333333015441895,300.25,0.0,37.49653244018555,45.08333206176758,2.6666667461395264,36.41666793823242,70.27796936035156,18.844228744506836,10.877803802490234,18.844228744506836,0.0,0.0,10.877803802490234,0.0,14.316286087036133
700000.0,38407380.0,1,17,2032,7489,1136,2145,270,142,40,574,286.0,416,1098,660,987,0,0,0,0,1,0,2,0,1,5772110.0,1547725.0,893422.0,18840,119.52941131591797,2.3529412746429443,440.5294189453125,11.764705657958984,37.641876220703125,33.764705657958984,38.82352828979492,66.82353210449219,70.27796936035156,18.844228744506836,10.877803802490234,18.844228744506836,0.0,0.0,10.877803802490234,0.0,13.45883560180664
695000.0,38407380.0,1,4,394,1293,179,303,51,13,37,141,234.0,77,358,67,965,0,0,0,0,1,0,0,1,0,5772110.0,1547725.0,893422.0,18840,98.5,9.25,323.25,0.0,37.97370529174805,35.25,16.75,44.75,70.27796936035156,18.844228744506836,10.877803802490234,0.0,10.877803802490234,0.0,0.0,18.844228744506836,13.451666831970215
275000.0,38407380.0,1,10,432,1005,78,240,35,5,13,95,239.0,39,140,1,990,0,0,0,0,0,1,0,0,0,5772110.0,1547725.0,893422.0,18840,43.20000076293945,1.2999999523162842,100.5,0.0,32.238807678222656,9.5,0.10000000149011612,7.800000190734863,70.27796936035156,18.844228744506836,10.877803802490234,0.0,0.0,70.27796936035156,0.0,0.0,12.524526596069336
235000.0,38407380.0,1,4,223,491,37,118,16,5,1,29,240.0,23,62,6,963,0,0,1,0,0,0,0,1,0,5772110.0,1547725.0,893422.0,18840,55.75,0.25,122.75,0.0,29.938899993896484,7.25,1.5,9.25,70.27796936035156,18.844228744506836,10.877803802490234,0.0,10.877803802490234,0.0,0.0,18.844228744506836,12.367341041564941
212500.0,38407380.0,1,3,156,434,45,116,16,0,10,59,267.0,18,48,6,971,0,0,0,0,1,0,0,0,1,5772110.0,1547725.0,893422.0,18840,52.0,3.3333332538604736,144.6666717529297,0.0,37.32719039916992,19.66666603088379,2.0,15.0,70.27796936035156,18.844228744506836,10.877803802490234,18.844228744506836,0.0,0.0,10.877803802490234,0.0,12.26669692993164
