marr,wage,exper,age,coll,games,minutes,guard,forward,center,points,rebounds,assists,draft,allstar,avgmin,lwage,black,children,expersq,agesq,marrblck
1,1002.5,4,27,4,77,2867,1,0,0,15.5,3.9000000953674316,4.5,19,0,37.233760833740234,6.910252094268799,1,0,16,729,1
1,2030.0,5,28,4,78,2789,1,0,0,13.300000190734863,2.5,8.800000190734863,28,0,35.75640869140625,7.615790843963623,1,1,25,784,1
0,650.0,1,25,4,74,1149,0,0,1,5.5,3.299999952316284,0.20000000298023224,19,0,15.527029991149902,6.476973056793213,1,0,1,625,0
0,2030.0,5,28,4,47,1178,0,1,0,7.300000190734863,5.099999904632568,1.5,1,0,25.06382942199707,7.615790843963623,1,0,25,784,0
0,755.0,3,24,4,82,2096,1,0,0,10.800000190734863,4.300000190734863,2.5999999046325684,24,0,25.56097984313965,6.626718044281006,1,0,9,576,0
0,2014.5,9,31,4,82,1971,0,1,0,11.300000190734863,4.900000095367432,1.5,4,0,24.036579132080078,7.608126163482666,1,0,81,961,0
1,1065.0,1,28,0,80,2303,0,1,0,15.100000381469727,7.199999809265137,1.399999976158142,40,0,28.787500381469727,6.970729827880859,0,0,1,784,0
0,420.0,3,27,3,67,1131,0,1,0,6.599999904632568,4.199999809265137,0.699999988079071,47,0,16.880599975585938,6.040255069732666,1,0,9,729,0
1,150.0,1,25,4,60,542,1,0,0,3.0999999046325684,0.699999988079071,2.0,,0,9.033333778381348,5.010634899139404,1,0,1,625,1
1,3050.0,12,35,3,74,2700,0,1,0,26.0,6.5,2.299999952316284,3,1,36.486488342285156,8.022896766662598,1,1,144,1225,1
1,1030.9000244140625,9,31,4,70,2337,1,0,0,12.100000381469727,2.5999999046325684,6.900000095367432,66,0,33.385719299316406,6.938188076019287,1,1,81,961,1
0,182.0,2,25,4,74,983,1,0,0,3.4000000953674316,1.2000000476837158,2.200000047683716,35,0,13.283780097961426,5.204007148742676,0,0,4,625,0
1,900.0,7,29,4,77,2746,1,0,0,10.800000190734863,4.099999904632568,10.100000381469727,12,0,35.66233825683594,6.802394866943359,1,1,49,841,1
0,850.0,1,23,4,51,767,0,1,0,4.800000190734863,2.5999999046325684,1.2000000476837158,20,0,15.039219856262207,6.745235919952393,1,0,1,529,0
1,1004.0,8,30,4,82,2173,1,0,0,16.299999237060547,3.200000047683716,2.700000047683716,15,0,26.5,6.911746978759766,1,1,64,900,1
1,2040.0,6,28,4,82,2648,1,0,0,14.399999618530273,4.599999904632568,2.5999999046325684,6,0,32.29267883300781,7.6207051277160645,1,1,36,784,1
1,3125.0,3,25,4,51,1757,0,1,0,16.399999618530273,8.800000190734863,3.5999999046325684,1,1,34.45098114013672,8.047189712524414,1,0,9,625,1
0,3120.0,2,24,4,60,2018,0,0,1,21.5,10.199999809265137,1.399999976158142,2,1,33.633338928222656,8.045587539672852,1,0,4,576,0
0,4000.0,18,41,4,74,1987,0,0,1,11.699999809265137,7.300000190734863,1.100000023841858,8,0,26.851350784301758,8.294049263000488,1,0,324,1681,0
0,570.0,8,30,4,50,1005,1,0,0,6.199999809265137,2.700000047683716,2.0999999046325684,44,0,20.100000381469727,6.345635890960693,1,0,64,900,0
0,620.0,6,27,4,82,2770,1,0,0,14.800000190734863,2.0999999046325684,4.0,18,1,33.78049087524414,6.429718971252441,1,0,36,729,0
0,150.0,3,25,4,36,419,1,0,0,3.5999999046325684,1.2999999523162842,1.0,,0,11.638890266418457,5.010634899139404,1,0,9,625,0
1,4000.0,8,31,0,75,2856,1,0,0,20.100000381469727,6.099999904632568,4.599999904632568,8,0,38.08000183105469,8.294049263000488,1,1,64,961,1
0,150.0,8,30,4,34,682,0,1,0,5.099999904632568,3.5999999046325684,1.0,28,0,20.058820724487305,5.010634899139404,0,0,64,900,0
1,1007.5,1,26,0,75,1808,0,1,0,10.899999618530273,4.0,3.4000000953674316,29,0,24.106670379638672,6.915226936340332,0,1,1,676,0
1,1059.0,4,26,4,76,1502,0,0,1,6.900000095367432,5.699999809265137,1.399999976158142,7,0,19.763160705566406,6.9650797843933105,0,1,16,676,0
1,1020.0,7,29,4,43,397,0,0,1,2.700000047683716,2.9000000953674316,0.800000011920929,11,0,9.232558250427246,6.927557945251465,0,0,49,841,0
1,3007.5,8,29,4,72,2759,1,0,0,22.0,8.699999809265137,5.599999904632568,5,1,38.31943893432617,8.008864402770996,1,1,64,841,1
1,150.0,8,31,4,76,1371,0,0,1,7.099999904632568,4.599999904632568,0.8999999761581421,16,0,18.039470672607422,5.010634899139404,0,1,64,961,0
1,1120.0,9,31,4,51,814,1,0,0,6.599999904632568,0.800000011920929,1.600000023841858,84,0,15.960780143737793,7.021083831787109,1,0,81,961,1
0,840.0,3,24,3,73,1548,1,0,0,8.300000190734863,2.200000047683716,3.799999952316284,11,0,21.205480575561523,6.733401775360107,1,0,9,576,0
