id,pyears,prftshr,choice,female,married,age,educ,finc25,finc35,finc50,finc75,finc100,finc101,wealth89,black,stckin89,irain89,pctstck
38,1,0,1,0,1,64,12,0,0,1,0,0,0,77.9000015258789,0,1,1,0
152,6,1,1,1,1,56,13,0,0,0,1,0,0,154.89999389648438,0,1,1,50
152,25,1,1,0,1,56,12,0,0,0,1,0,0,154.89999389648438,0,1,1,50
182,20,1,0,1,1,63,12,1,0,0,0,0,0,232.5,0,1,1,100
222,35,0,1,0,1,67,12,0,1,0,0,0,0,179.0,0,0,1,100
226,13,1,0,0,1,64,11,0,0,0,1,0,0,120.0250015258789,0,1,0,0
233,2,0,1,1,1,64,12,1,0,0,0,0,0,52.0,0,0,1,100
233,10,1,0,1,1,64,12,1,0,0,0,0,0,52.0,0,0,1,100
253,26,0,0,1,1,69,12,0,1,0,0,0,0,0.0,0,0,0,50
314,5,0,1,0,1,60,14,0,0,0,0,0,1,183.64999389648438,0,1,1,50
398,1,1,1,1,1,59,12,0,0,0,0,1,0,458.0,0,1,1,100
402,8,1,0,1,0,56,12,0,0,1,0,0,0,203.0,0,1,0,100
450,7,0,1,0,1,63,14,0,0,0,0,0,1,913.0,0,0,0,50
460,40,0,0,1,1,67,12,0,0,0,0,1,0,292.0,0,0,1,100
460,18,0,1,0,1,69,16,0,0,0,0,1,0,292.0,0,0,1,0
490,2,0,1,1,1,58,12,0,1,0,0,0,0,147.89999389648438,0,0,0,50
490,2,0,1,1,1,58,12,0,1,0,0,0,0,147.89999389648438,0,0,0,50
500,20,0,1,0,1,61,18,0,0,0,0,1,0,295.5,0,1,1,0
503,24,0,1,0,1,62,12,0,0,0,1,0,0,224.1999969482422,0,0,1,100
515,5,0,0,1,1,59,16,0,0,1,0,0,0,254.89999389648438,0,1,1,100
530,12,0,0,1,1,55,12,0,0,0,0,1,0,90.19999694824219,0,0,1,50
587,15,0,1,0,1,65,18,0,0,0,0,0,1,340.0,0,0,0,0
589,10,0,1,1,0,57,12,0,1,0,0,0,0,188.5,0,0,0,100
614,9,0,0,1,0,69,12,0,0,0,0,0,0,15.0,1,0,0,100
626,9,0,1,1,1,59,12,0,1,0,0,0,0,172.0,1,1,1,50
734,10,0,0,1,0,63,16,1,0,0,0,0,0,206.0,1,0,0,0
787,20,0,0,1,0,56,18,0,0,0,0,0,1,441.0,0,1,0,50
888,10,0,0,1,1,63,12,0,0,1,0,0,0,219.5500030517578,0,0,1,50
888,10,0,0,0,1,67,12,0,0,1,0,0,0,219.5500030517578,0,0,1,0
910,6,0,0,1,0,55,14,0,1,0,0,0,0,142.0,1,0,0,0
910,17,0,1,1,0,55,14,0,1,0,0,0,0,142.0,1,0,0,100
953,20,0,1,0,1,68,12,0,0,1,0,0,0,672.2000122070312,0,1,1,0
953,6,0,1,0,1,68,12,0,0,1,0,0,0,672.2000122070312,0,1,1,50
1088,20,0,0,0,1,68,18,1,0,0,0,0,0,101.0,0,0,1,0
1101,7,1,0,1,0,63,12,1,0,0,0,0,0,120.0,0,1,0,100
1104,2,0,1,1,0,60,17,0,0,1,0,0,0,25.5,0,0,1,0
1140,26,1,1,0,1,64,12,0,1,0,0,0,0,150.0,0,0,0,50
1173,2,0,0,1,1,57,12,1,0,0,0,0,0,106.30000305175781,0,1,1,100
1190,,0,0,1,1,55,14,0,0,1,0,0,0,105.0,0,0,0,50
1191,10,0,1,0,1,59,12,0,1,0,0,0,0,0.0,0,0,0,50
1230,3,0,0,1,0,59,12,1,0,0,0,0,0,102.05599975585938,0,1,1,50
1279,2,0,1,1,0,55,12,0,0,1,0,0,0,90.0,0,0,1,50
