educ,cigpric,white,age,income,cigs,restaurn,lincome,agesq,lcigpric
16.0,60.50600051879883,1,46,20000,0,0,9.903487205505371,2116,4.102742671966553
16.0,57.882999420166016,1,40,30000,0,0,10.308952331542969,1600,4.0584235191345215
12.0,57.66400146484375,1,58,30000,3,0,10.308952331542969,3364,4.054633140563965
13.5,57.882999420166016,1,30,20000,0,0,9.903487205505371,900,4.0584235191345215
10.0,58.31999969482422,1,17,20000,0,0,9.903487205505371,289,4.065945148468018
6.0,59.34000015258789,1,86,6500,0,0,8.779557228088379,7396,4.083283424377441
12.0,57.882999420166016,1,35,20000,0,0,9.903487205505371,1225,4.0584235191345215
15.0,57.882999420166016,1,48,30000,0,0,10.308952331542969,2304,4.0584235191345215
12.0,59.19499969482422,1,48,20000,0,0,9.903487205505371,2304,4.080837249755859
12.0,58.02799987792969,1,31,20000,0,0,9.903487205505371,961,4.060925483703613
13.5,57.882999420166016,1,27,30000,10,0,10.308952331542969,729,4.0584235191345215
12.0,60.28799819946289,1,24,20000,20,0,9.903487205505371,576,4.099133014678955
10.0,57.882999420166016,1,71,8500,30,0,9.047821044921875,5041,4.0584235191345215
6.0,58.02799987792969,1,44,30000,0,0,10.308952331542969,1936,4.060925483703613
16.0,60.74599838256836,1,22,30000,0,0,10.308952331542969,484,4.106701374053955
12.0,60.07099914550781,1,29,20000,20,0,9.903487205505371,841,4.095527172088623
12.0,60.28200149536133,1,33,20000,0,0,9.903487205505371,1089,4.099033355712891
12.0,60.70399856567383,1,34,20000,30,0,9.903487205505371,1156,4.106009483337402
13.5,59.86000061035156,1,30,8500,0,0,9.047821044921875,900,4.092008590698242
10.0,60.32400131225586,0,48,30000,20,0,10.308952331542969,2304,4.099730014801025
6.0,59.04499816894531,1,61,5500,0,0,8.612503051757812,3721,4.0782999992370605
18.0,60.29399871826172,1,49,30000,0,0,10.308952331542969,2401,4.0992326736450195
12.0,59.04499816894531,1,33,20000,0,0,9.903487205505371,1089,4.0782999992370605
16.0,60.63199996948242,1,24,30000,0,1,10.308952331542969,576,4.104822635650635
16.0,61.74399948120117,1,36,30000,0,1,10.308952331542969,1296,4.122996807098389
15.0,60.86199951171875,1,39,20000,12,1,9.903487205505371,1521,4.108609199523926
18.0,61.39899826049805,1,38,30000,0,1,10.308952331542969,1444,4.117393493652344
12.0,60.823001861572266,1,29,30000,30,1,10.308952331542969,841,4.107967853546143
