female,phsrank,BA,AA,black,hispanic,id,exper,jc,univ,lwage,stotal,smcity,medcity,submed,lgcity,sublg,vlgcity,subvlg,ne,nc,south,totcoll
1,65,0,0,0,0,19.0,161,0.0,0.0,1.925290822982788,-0.4417496919631958,0,0,0,0,1,0,0,1,0,0,0.0
1,97,0,0,0,0,93.0,119,0.0,7.0333333015441895,2.796494245529175,0.0,1,0,0,0,0,0,0,0,1,0,7.0333333015441895
1,44,0,0,0,0,96.0,81,0.0,0.0,1.6255995035171509,-1.3570027351379395,0,0,0,0,1,0,0,1,0,0,0.0
1,34,0,0,0,1,119.0,39,0.2666666805744171,0.0,2.2233119010925293,-0.19005508720874786,1,0,0,0,0,0,0,0,0,0,0.2666666805744171
1,80,0,0,0,0,132.0,141,0.0,0.0,1.6420825719833374,0.0,0,0,0,0,0,0,0,0,0,1,0.0
0,59,0,0,0,0,156.0,165,0.0,0.0,2.079441547393799,1.388756513595581,1,0,0,0,0,0,0,0,0,1,0.0
0,81,1,0,0,0,163.0,127,0.2666666805744171,4.444437503814697,2.8779492378234863,1.411637783050537,1,0,0,0,0,0,0,0,1,0,4.711104393005371
0,50,0,0,1,0,188.0,161,0.0,0.0,2.5201122760772705,-0.3731057047843933,0,0,0,1,0,0,0,0,0,1,0.0
0,8,0,0,0,0,199.0,138,0.0888887420296669,0.0,2.525728702545166,0.0,1,0,0,0,0,0,0,0,0,0,0.0888887420296669
0,56,1,0,1,0,200.0,64,0.0,5.400000095367432,2.6740758419036865,-1.4027653932571411,0,0,0,0,0,0,0,0,0,1,5.400000095367432
1,46,1,0,0,0,262.0,119,0.0,4.099999904632568,1.9841313362121582,-0.23581774532794952,0,1,0,0,0,0,0,0,1,0,4.099999904632568
1,87,0,0,0,0,263.0,105,0.0,0.0,2.2529942989349365,1.0684179067611694,1,0,0,0,0,0,0,0,0,1,0.0
1,42,0,0,0,0,287.0,124,0.8888875246047974,0.0,1.7491998672485352,0.5421473979949951,0,0,0,0,0,0,1,0,0,0,0.8888875246047974
1,66,0,0,0,0,288.0,143,0.0,0.0,1.208959937095642,0.5879100561141968,0,0,0,0,0,0,0,0,1,0,0.0
0,43,0,1,0,0,360.0,160,2.7666666507720947,0.0,2.0149030685424805,0.565028727054596,0,0,0,0,0,0,0,1,0,0,2.7666666507720947
1,48,0,0,0,0,374.0,121,0.0,0.0,1.3862943649291992,-0.16717375814914703,0,1,0,0,0,0,0,0,0,1,0.0
1,87,0,0,0,0,415.0,166,0.955554187297821,0.0,2.1972246170043945,0.17604614794254303,1,0,0,0,0,0,0,0,0,1,0.955554187297821
1,99,1,0,0,0,425.0,118,0.0,4.5333251953125,2.0222830772399902,1.4345191717147827,0,0,1,0,0,0,0,0,0,1,4.5333251953125
1,57,0,0,1,0,448.0,103,0.0,0.0,1.4756430387496948,-2.386662483215332,0,0,0,0,0,0,0,0,0,1,0.0
0,14,0,0,0,0,452.0,60,0.36666667461395264,0.0,2.2512917518615723,0.0,0,0,0,0,1,0,0,0,0,0,0.36666667461395264
1,80,1,0,0,1,454.0,131,3.8333332538604736,2.3333332538604736,1.8718022108078003,0.0,0,1,0,0,0,0,0,0,0,1,6.166666507720947
1,43,0,0,0,1,467.0,95,0.0,0.0,1.2007700204849243,-1.082426905632019,1,0,0,0,0,0,0,0,0,0,0.0
1,54,0,0,0,0,493.0,59,0.0,1.2999999523162842,2.0862889289855957,0.0,0,0,0,0,1,0,0,1,0,0,1.2999999523162842
1,88,0,0,0,0,499.0,161,0.0,1.899999976158142,2.169053792953491,0.7251980304718018,1,0,0,0,0,0,0,0,0,1,1.899999976158142
0,68,0,0,0,0,513.0,122,0.0,0.0,2.4079456329345703,0.2218088060617447,1,0,0,0,0,0,0,0,1,0,0.0
1,70,0,0,0,0,527.0,162,0.10000000149011612,0.0,2.169053792953491,-0.7849696278572083,0,0,1,0,0,0,0,0,0,1,0.10000000149011612
1,95,1,0,0,0,543.0,106,0.0,4.833333492279053,2.3285605907440186,0.7709606289863586,0,0,0,0,1,0,0,0,1,0,4.833333492279053
0,85,1,0,0,0,547.0,60,2.0999999046325684,3.2833333015441895,2.586259126663208,-0.029885800555348396,0,0,0,0,0,0,0,0,0,0,5.383333206176758
1,52,0,0,0,0,560.0,107,0.10000000149011612,0.0,2.4029228687286377,0.0,0,0,0,1,0,0,0,0,0,0,0.10000000149011612
0,85,0,0,0,0,572.0,165,0.1555553376674652,0.0,3.072693347930908,1.0226552486419678,0,0,0,0,0,0,0,0,0,0,0.1555553376674652
1,41,1,0,1,0,591.0,136,0.0,4.199994087219238,2.4952456951141357,-1.1739522218704224,0,1,0,0,0,0,0,0,0,0,4.199994087219238
1,0,0,0,0,0,596.0,21,0.0,0.0,1.6379563808441162,-1.379884123802185,0,0,0,1,0,0,0,0,0,0,0.0
1,83,0,0,0,0,600.0,113,0.0,0.0,1.848618507385254,-0.25869908928871155,0,0,1,0,0,0,0,1,0,0,0.0
1,85,1,0,0,0,616.0,111,0.0,6.199999809265137,2.3513753414154053,0.8853672742843628,0,0,1,0,0,0,0,1,0,0,6.199999809265137
0,82,1,0,0,0,626.0,143,0.0,4.0,1.491654872894287,0.4735034108161926,0,0,0,0,0,0,0,1,0,0,4.0
1,19,1,0,0,0,635.0,112,2.133333444595337,1.9333312511444092,2.0589473247528076,0.5879100561141968,0,0,1,0,0,0,0,1,0,0,4.066664695739746
0,42,0,0,0,0,652.0,135,0.0,0.0,2.021547555923462,-0.48751235008239746,1,0,0,0,0,0,0,0,0,0,0.0
0,50,0,0,0,0,655.0,157,0.0,0.0,2.4765379428863525,-0.6019189953804016,0,0,0,0,0,1,0,0,0,1,0.0
1,59,1,0,0,0,671.0,86,0.11111094057559967,4.022218227386475,2.3025851249694824,0.015876853838562965,0,0,0,0,1,0,0,0,0,1,4.133329391479492
1,26,1,0,1,0,712.0,49,2.644441843032837,2.6666667461395264,2.815673589706421,-2.2493746280670166,1,0,0,0,0,0,0,0,0,1,5.311108589172363
0,71,0,0,0,0,730.0,143,0.0,0.0,1.9139769077301025,0.0845208391547203,0,0,0,0,0,0,0,0,0,1,0.0
1,84,0,0,0,1,743.0,166,0.0,0.0,2.219203233718872,0.17604614794254303,0,0,0,0,0,0,0,0,0,0,0.0
0,54,1,0,0,0,766.0,112,0.0,4.599999904632568,2.71543025970459,0.9997739195823669,0,0,0,0,0,0,1,0,1,0,4.599999904632568
0,39,1,0,0,0,781.0,129,0.0,4.416662693023682,2.154664993286133,0.17604614794254303,1,0,0,0,0,0,0,0,0,1,4.416662693023682
1,37,0,0,1,0,784.0,66,0.0,0.0,2.2763001918792725,-0.7163256406784058,0,0,0,0,0,0,0,0,0,1,0.0
1,69,1,0,0,0,785.0,79,0.0,2.700000047683716,1.7986069917678833,-0.3502243757247925,0,0,0,0,0,1,0,1,0,0,2.700000047683716
0,47,0,0,0,0,796.0,160,1.0499999523162842,0.0,2.034705400466919,0.0,0,0,0,0,0,0,0,0,0,0,1.0499999523162842
1,81,0,0,0,0,810.0,132,0.0,0.0,1.9278916120529175,0.0,0,0,0,0,0,0,0,0,0,1,0.0
0,16,0,0,0,0,816.0,154,0.0,0.0,2.5136559009552,-0.6248003244400024,0,0,0,0,0,0,0,0,1,0,0.0
1,50,0,0,0,0,824.0,137,0.0,0.0,2.4544475078582764,-0.6019189953804016,0,1,0,0,0,0,0,0,0,0,0.0
1,44,1,0,0,0,829.0,94,0.0,4.099999904632568,1.6937791109085083,-0.1442924439907074,1,0,0,0,0,0,0,0,0,0,4.099999904632568
0,49,0,0,1,0,843.0,118,0.0,1.5,2.0294628143310547,0.3133341073989868,0,0,0,0,0,1,0,1,0,0,1.5
1,58,0,0,0,0,850.0,154,0.0,0.0,2.079441547393799,0.015876853838562965,0,1,0,0,0,0,0,1,0,0,0.0
1,35,0,0,0,0,851.0,142,0.0,0.8666666746139526,2.393339157104492,-0.8536136150360107,0,0,0,0,1,0,0,0,1,0,0.8666666746139526
1,50,0,0,0,0,861.0,73,0.0,3.433333396911621,1.5597236156463623,0.7480793595314026,0,0,0,0,0,0,1,1,0,0,3.433333396911621
0,4,0,0,0,1,871.0,61,0.0,0.0,2.125251054763794,-1.4485280513763428,0,0,0,0,0,0,0,0,0,1,0.0
1,65,0,0,1,0,874.0,154,0.0,1.3999979496002197,2.4849066734313965,-1.082426905632019,0,0,0,0,1,0,0,0,1,0,1.3999979496002197
1,98,1,0,1,0,877.0,139,0.0,4.199999809265137,2.65675687789917,-0.5561563372612,0,1,0,0,0,0,0,0,0,1,4.199999809265137
1,71,0,0,0,1,880.0,112,0.0,0.0,2.017531156539917,-0.48751235008239746,1,0,0,0,0,0,0,0,0,0,0.0
0,90,0,0,0,0,887.0,158,0.0,0.7555536031723022,0.7657179236412048,1.3201124668121338,0,0,0,0,1,0,0,0,0,1,0.7555536031723022
1,32,0,0,0,0,894.0,46,0.0,0.0,1.8809902667999268,-0.6934443116188049,1,0,0,0,0,0,0,1,0,0,0.0
1,91,0,0,0,1,939.0,113,0.0,0.20000000298023224,2.1575586795806885,-0.6476816534996033,0,0,0,0,0,0,0,0,0,0,0.20000000298023224
1,18,0,0,0,0,954.0,122,0.0,0.0,1.6351051330566406,-1.24259614944458,1,0,0,0,0,0,0,0,0,0,0.0
0,49,0,0,0,0,955.0,61,1.3666666746139526,0.0,1.7533082962036133,-0.48751235008239746,1,0,0,0,0,0,0,0,0,1,1.3666666746139526
1,50,0,0,0,0,960.0,77,0.0,0.0,1.3862943649291992,-0.5103936791419983,0,1,0,0,0,0,0,0,0,0,0.0
0,51,0,1,0,0,967.0,162,2.5999999046325684,0.0,2.154664993286133,0.33621543645858765,1,0,0,0,0,0,0,1,0,0,2.5999999046325684
0,68,0,0,1,0,973.0,150,0.0,0.0,2.5087854862213135,-0.6476816534996033,0,0,0,0,0,0,0,0,0,1,0.0
1,50,1,0,0,0,987.0,108,0.0,2.0999999046325684,2.788092851638794,2.0294337272644043,0,0,0,0,0,1,0,1,0,0,2.0999999046325684
0,22,0,0,0,1,991.0,150,0.6000000238418579,0.0,2.325324535369873,-1.3570027351379395,1,0,0,0,0,0,0,0,0,0,0.6000000238418579
1,53,0,0,0,0,992.0,54,0.0,0.0,1.9315210580825806,1.0455366373062134,0,1,0,0,0,0,0,0,0,0,0.0
0,67,0,1,0,0,997.0,124,2.4666666984558105,0.0,2.4890642166137695,0.0,0,0,0,0,0,1,0,0,1,0,2.4666666984558105
0,4,0,0,1,0,1001.0,148,0.0,0.0,2.525728702545166,-2.409543752670288,0,0,0,0,0,0,0,0,0,1,0.0
1,66,0,0,0,0,1007.0,86,0.0,0.0,1.1225178241729736,-0.25869908928871155,0,0,0,0,0,0,0,1,0,0,0.0
1,83,0,0,0,0,1009.0,142,0.0,0.0,1.7173949480056763,0.1531648188829422,0,0,1,0,0,0,0,1,0,0,0.0
0,8,0,0,0,0,1013.0,155,0.0,0.0,2.332143545150757,-1.929036021232605,0,0,0,0,0,0,0,1,0,0,0.0
0,76,1,0,0,1,1022.0,78,0.0,4.5,2.231088876724243,-0.05276712775230408,0,0,0,0,0,0,0,0,0,0,4.5
1,88,1,0,1,0,1059.0,148,0.0,5.0333333015441895,2.356125831604004,0.0,0,1,0,0,0,0,0,0,0,1,5.0333333015441895
0,35,0,0,0,0,1060.0,101,0.0,0.0,1.9490456581115723,0.0,0,0,0,1,0,0,0,0,1,0,0.0
0,13,0,0,0,0,1062.0,151,0.3999994993209839,0.0,2.547490119934082,-0.9680202007293701,0,0,0,1,0,0,0,0,0,0,0.3999994993209839
0,91,1,0,0,0,1067.0,130,1.9333332777023315,2.3333332538604736,3.257385730743408,0.7709606289863586,0,0,0,0,0,0,0,0,0,0,4.266666412353516
1,99,1,0,0,0,1072.0,118,0.0,6.400000095367432,2.1972246170043945,0.7709606289863586,1,0,0,0,0,0,0,0,0,1,6.400000095367432
1,96,1,0,0,0,1083.0,141,0.0,3.1888840198516846,2.5649492740631104,1.114180564880371,0,0,0,0,0,0,0,0,0,1,3.1888840198516846
0,70,1,0,0,0,1087.0,162,0.0,4.300000190734863,2.4849066734313965,1.0226552486419678,0,0,0,0,0,0,0,0,1,0,4.300000190734863
0,50,0,0,1,0,1118.0,132,0.0,0.0,2.1800577640533447,-2.5010690689086914,0,0,0,0,0,0,0,0,0,1,0.0
0,29,1,0,0,0,1124.0,124,0.0,4.411104202270508,1.9401066303253174,0.3133341073989868,0,0,0,0,1,0,0,1,0,0,4.411104202270508
0,36,0,0,0,0,1128.0,165,0.0,0.1777774840593338,2.813410758972168,-0.23581774532794952,0,0,0,0,1,0,0,0,1,0,0.1777774840593338
1,88,1,0,0,0,1134.0,117,0.0,4.699999809265137,2.488077163696289,0.9311299324035645,0,0,0,0,1,0,0,0,0,1,4.699999809265137
1,83,1,0,0,0,1149.0,113,0.23333333432674408,4.0,2.2823824882507324,1.1370619535446167,0,0,1,0,0,0,0,1,0,0,4.233333110809326
0,20,0,0,0,0,1199.0,147,0.0,0.0,2.525728702545166,0.26757144927978516,0,0,0,0,0,0,0,0,1,0,0.0
1,80,1,0,0,0,1211.0,107,0.0,4.099999904632568,1.6094379425048828,1.2285871505737305,0,0,0,0,0,1,0,0,0,1,4.099999904632568
0,37,1,0,0,0,1226.0,124,0.0,4.888883590698242,2.4079456329345703,-0.6248003244400024,0,0,0,1,0,0,0,0,0,1,4.888883590698242
1,49,0,0,0,0,1240.0,127,0.0,0.0,2.2964789867401123,-0.4417496919631958,0,0,0,0,0,0,0,0,1,0,0.0
0,3,0,0,0,0,1247.0,154,0.0,0.0,2.145930767059326,-0.41886836290359497,0,0,0,0,0,0,0,0,1,0,0.0
1,81,1,0,0,0,1276.0,49,0.0,4.400000095367432,1.8245488405227661,0.7938419580459595,1,0,0,0,0,0,0,0,0,1,4.400000095367432
1,81,0,0,0,0,1282.0,116,0.0,7.28887939453125,1.8458267450332642,0.6107913851737976,0,0,0,1,0,0,0,0,0,1,7.28887939453125
0,18,0,0,0,0,1314.0,148,0.0,0.0,2.5496342182159424,-0.16717375814914703,0,0,0,0,1,0,0,0,0,1,0.0
1,70,0,0,0,0,1327.0,135,0.0,0.0,1.7491998672485352,0.9082486033439636,0,1,0,0,0,0,0,1,0,0,0.0
1,87,0,0,0,0,1332.0,144,0.0,0.0,2.0149030685424805,-0.6705629825592041,1,0,0,0,0,0,0,0,0,0,0.0
0,1,0,0,0,0,1340.0,110,0.0,0.0,1.6601307392120361,-2.5468318462371826,0,1,0,0,0,0,0,0,1,0,0.0
1,98,1,0,0,0,1352.0,109,0.0,6.599996089935303,2.207274913787842,0.4735034108161926,1,0,0,0,0,0,0,0,0,1,6.599996089935303
1,26,0,0,0,0,1377.0,142,0.0,0.0,1.9851309061050415,-0.8307322859764099,0,0,0,0,1,0,0,1,0,0,0.0
1,79,0,0,0,0,1380.0,46,0.0,3.5333333015441895,2.0692861080169678,0.17604614794254303,0,0,0,1,0,0,0,1,0,0,3.5333333015441895
0,38,0,0,0,0,1381.0,138,0.0,2.5333333015441895,1.3480727672576904,0.8396046161651611,0,0,0,1,0,0,0,0,1,0,2.5333333015441895
