studyid,black,hispanic,female,appyear,mnce,select,choice,selectyrs,choiceyrs,mnce90,selectyrs1,selectyrs2,selectyrs3,selectyrs4,choiceyrs1,choiceyrs2,choiceyrs3,choiceyrs4
21,1,0,1,90,44,1,0,4,1,,0,0,0,1,1,0,0,0
26,1,0,0,90,46,1,1,4,4,,0,0,0,1,0,0,0,1
30,1,0,0,90,20,1,1,4,4,,0,0,0,1,0,0,0,1
31,1,0,1,90,36,1,1,4,4,,0,0,0,1,0,0,0,1
33,1,0,0,90,32,1,1,4,4,,0,0,0,1,0,0,0,1
39,1,0,1,90,76,1,0,4,1,19,0,0,0,1,1,0,0,0
43,1,0,1,90,1,1,1,4,4,,0,0,0,1,0,0,0,1
44,1,0,1,90,17,1,1,4,4,,0,0,0,1,0,0,0,1
45,1,0,1,90,58,1,1,4,4,,0,0,0,1,0,0,0,1
46,1,0,1,90,15,1,1,4,4,20,0,0,0,1,0,0,0,1
47,1,0,1,90,81,1,0,4,1,58,0,0,0,1,1,0,0,0
49,1,0,0,90,10,1,1,4,4,66,0,0,0,1,0,0,0,1
51,1,0,0,90,37,1,0,4,3,52,0,0,0,1,0,0,1,0
53,1,0,0,90,59,1,0,4,1,,0,0,0,1,1,0,0,0
54,1,0,0,90,60,1,0,4,1,46,0,0,0,1,1,0,0,0
55,1,0,0,90,47,1,1,4,4,,0,0,0,1,0,0,0,1
57,1,0,1,90,10,1,1,4,3,28,0,0,0,1,0,0,1,0
60,1,0,0,90,62,1,1,4,3,54,0,0,0,1,0,0,1,0
61,1,0,0,90,10,1,1,4,3,32,0,0,0,1,0,0,1,0
62,1,0,0,90,29,1,0,4,2,44,0,0,0,1,0,1,0,0
63,1,0,0,90,64,1,1,4,4,61,0,0,0,1,0,0,0,1
69,1,0,1,90,63,1,1,4,3,55,0,0,0,1,0,0,1,0
71,1,0,1,90,13,1,1,4,3,,0,0,0,1,0,0,1,0
91,1,0,1,90,57,1,0,4,0,,0,0,0,1,0,0,0,0
132,0,1,1,90,39,1,1,4,3,,0,0,0,1,0,0,1,0
133,0,1,1,90,13,1,1,4,3,,0,0,0,1,0,0,1,0
136,0,1,0,90,66,1,1,4,3,,0,0,0,1,0,0,1,0
138,0,1,0,90,10,1,1,4,3,,0,0,0,1,0,0,1,0
139,0,1,1,90,62,1,1,4,4,58,0,0,0,1,0,0,0,1
179,1,0,0,90,31,1,0,4,0,,0,0,0,1,0,0,0,0
192,1,0,1,90,66,1,0,4,0,54,0,0,0,1,0,0,0,0
194,1,0,1,90,37,1,0,4,0,,0,0,0,1,0,0,0,0
195,0,0,1,90,59,1,0,4,0,61,0,0,0,1,0,0,0,0
199,1,0,1,90,42,1,1,4,4,1,0,0,0,1,0,0,0,1
200,1,0,1,90,47,1,1,4,4,33,0,0,0,1,0,0,0,1
207,1,0,0,90,60,1,0,4,0,58,0,0,0,1,0,0,0,0
212,1,0,0,90,38,1,0,4,0,,0,0,0,1,0,0,0,0
214,1,0,1,90,17,1,1,4,2,,0,0,0,1,0,1,0,0
215,0,0,1,90,41,1,1,4,2,,0,0,0,1,0,1,0,0
221,1,0,1,90,35,1,1,4,3,,0,0,0,1,0,0,1,0
223,0,0,1,90,50,1,1,4,2,,0,0,0,1,0,1,0,0
225,0,0,1,90,66,1,1,4,4,,0,0,0,1,0,0,0,1
226,1,0,0,90,15,1,1,4,4,28,0,0,0,1,0,0,0,1
228,0,0,0,90,58,1,1,4,4,69,0,0,0,1,0,0,0,1
230,0,0,1,90,68,1,1,4,4,,0,0,0,1,0,0,0,1
232,0,0,0,90,38,1,1,4,4,54,0,0,0,1,0,0,0,1
233,0,0,0,90,55,1,1,4,4,,0,0,0,1,0,0,0,1
241,1,0,0,90,68,1,1,4,2,,0,0,0,1,0,1,0,0
245,1,0,1,90,28,1,1,4,3,,0,0,0,1,0,0,1,0
246,1,0,1,90,44,1,1,4,3,,0,0,0,1,0,0,1,0
248,1,0,1,90,52,1,1,4,4,,0,0,0,1,0,0,0,1
251,1,0,0,90,50,1,1,4,4,,0,0,0,1,0,0,0,1
253,1,0,1,90,56,1,1,4,4,,0,0,0,1,0,0,0,1
257,1,0,1,90,48,1,1,4,4,,0,0,0,1,0,0,0,1
258,1,0,0,90,33,1,1,4,4,,0,0,0,1,0,0,0,1
261,1,0,1,90,42,1,1,4,3,32,0,0,0,1,0,0,1,0
263,1,0,1,90,50,1,1,4,4,,0,0,0,1,0,0,0,1
264,1,0,1,90,48,1,1,4,4,,0,0,0,1,0,0,0,1
265,1,0,1,90,23,1,1,4,4,,0,0,0,1,0,0,0,1
268,1,0,0,90,10,1,1,4,3,,0,0,0,1,0,0,1,0
270,1,0,1,90,60,1,1,4,3,,0,0,0,1,0,0,1,0
271,1,0,1,90,42,1,1,4,3,,0,0,0,1,0,0,1,0
272,1,0,0,90,33,1,1,4,4,,0,0,0,1,0,0,0,1
273,1,0,0,90,47,1,1,4,3,58,0,0,0,1,0,0,1,0
274,1,0,0,90,35,1,1,4,3,,0,0,0,1,0,0,1,0
275,1,0,1,90,50,1,0,4,1,42,0,0,0,1,1,0,0,0
276,1,0,0,90,45,1,1,4,3,,0,0,0,1,0,0,1,0
280,1,0,0,90,7,1,1,4,3,,0,0,0,1,0,0,1,0
283,1,0,1,90,20,1,1,4,3,,0,0,0,1,0,0,1,0
288,1,0,1,90,31,1,1,4,4,41,0,0,0,1,0,0,0,1
294,1,0,1,90,54,1,1,4,4,,0,0,0,1,0,0,0,1
295,1,0,1,90,52,1,1,4,4,,0,0,0,1,0,0,0,1
298,1,0,0,90,46,1,1,4,4,15,0,0,0,1,0,0,0,1
301,1,0,0,90,99,1,1,4,4,,0,0,0,1,0,0,0,1
302,1,0,0,90,51,1,1,4,4,31,0,0,0,1,0,0,0,1
306,1,0,0,90,28,1,1,4,4,20,0,0,0,1,0,0,0,1
