nr,year,agric,black,bus,construc,ent,exper,fin,hisp,poorhlth,hours,manuf,married,min,nrthcen,nrtheast,occ1,occ2,occ3,occ4,occ5,occ6,occ7,occ8,occ9,per,pro,pub,rur,south,educ,tra,trad,union,lwage,d81,d82,d83,d84,d85,d86,d87,expersq
13,1980,0,0,1,0,0,1,0,0,0,2672,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,14,0,0,0,1.1975401639938354,0,0,0,0,0,0,0,1
13,1981,0,0,0,0,0,2,0,0,0,2320,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,14,0,0,1,1.853060007095337,1,0,0,0,0,0,0,4
13,1982,0,0,1,0,0,3,0,0,0,2940,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,14,0,0,0,1.3444616794586182,0,1,0,0,0,0,0,9
13,1983,0,0,1,0,0,4,0,0,0,2960,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,14,0,0,0,1.4332133531570435,0,0,1,0,0,0,0,16
13,1984,0,0,0,0,0,5,0,0,0,3071,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,14,0,0,0,1.5681251287460327,0,0,0,1,0,0,0,25
13,1985,0,0,1,0,0,6,0,0,0,2864,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,1.6998909711837769,0,0,0,0,1,0,0,36
13,1986,0,0,1,0,0,7,0,0,0,2994,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,-0.7202625870704651,0,0,0,0,0,1,0,49
13,1987,0,0,1,0,0,8,0,0,0,2640,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,1.6691879034042358,0,0,0,0,0,0,1,64
17,1980,0,0,0,0,0,4,0,0,0,2484,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,1,0,1.6759624481201172,0,0,0,0,0,0,0,16
17,1981,0,0,0,0,0,5,0,0,0,2804,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,1,0,1.5183981657028198,1,0,0,0,0,0,0,25
17,1982,0,0,0,0,0,6,0,0,0,2530,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,1,0,1.5591905117034912,0,1,0,0,0,0,0,36
17,1983,0,0,0,0,0,7,0,0,0,2340,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,1,0,1.7254101037979126,0,0,1,0,0,0,0,49
17,1984,0,0,0,0,0,8,0,0,0,2486,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,1,0,1.622022271156311,0,0,0,1,0,0,0,64
17,1985,0,0,0,1,0,9,0,0,0,2164,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,13,0,0,0,1.6085882186889648,0,0,0,0,1,0,0,81
17,1986,0,0,0,1,0,10,0,0,0,2749,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,13,0,0,0,1.5723854303359985,0,0,0,0,0,1,0,100
