variable,label
rank,law school ranking
salary,median starting salary
cost,law school cost
LSAT,median LSAT score
GPA,median college GPA
libvol,"no. volumes in lib., 1000s"
faculty,no. of faculty
age,"age of law sch., years"
clsize,size of entering class
north,=1 if law sch in north
south,=1 if law sch in south
east,=1 if law sch in east
west,=1 if law sch in west
lsalary,log(salary)
studfac,student-faculty ratio
top10,=1 if ranked in top 10
r11_25,=1 if ranked 11-25
r26_40,=1 if ranked 26-40
r41_60,=1 if ranked 41-60
llibvol,log(libvol)
lcost,log(cost)
