variable,label
lnchprg,perc of studs in sch lnch prog
enroll,school enrollment
staff,staff per 1000 students
expend,"expend. per stud, $"
salary,"avg. teacher salary, $"
benefits,"avg. teacher benefits, $"
droprate,"school dropout rate, perc"
gradrate,"school graduation rate, perc"
math10,perc studs passing MEAP math
sci11,perc studs passing MEAP science
totcomp,salary + benefits
ltotcomp,log(totcomp)
lexpend,log of expend
lenroll,log(enroll)
lstaff,log(staff)
bensal,benefits/salary
lsalary,log(salary)
