variable,label
id,respondent identifier
educ,years schooling
date,date:  month/day/year
state,home state
regprc,price of regular apples
ecoprc,price of ecolabeled apples
inseason,=1 if interviewed in Nov.
hhsize,household size
male,=1 if male
faminc,"family income, thousands"
age,in years
reglbs,"quantity regular apples, pounds"
ecolbs,"quantity ecolabeled apples, lbs"
numlt5,# in household younger than 5
num5_17,# in household 5 to 17
num18_64,# in household 18 to 64
numgt64,# in household older than 64
